project,exp h1-precision,exp_p1 h1-precision,exp h1-recall,exp_p1 h1-recall,exp h2-precision,exp_p1 h2-precision,exp h2-recall,exp_p1 h2-recall,exp h3-precision,exp_p1 h3-precision,exp h3-recall,exp_p1 h3-recall,exp h4-precision,exp_p1 h4-precision,exp h4-recall,exp_p1 h4-recall,exp h5-precision,exp_p1 h5-precision,exp h5-recall,exp_p1 h5-recall,exp h6-precision,exp_p1 h6-precision,exp h6-recall,exp_p1 h6-recall,exp h7-precision,exp_p1 h7-precision,exp h7-recall,exp_p1 h7-recall,exp h8-precision,exp_p1 h8-precision,exp h8-recall,exp_p1 h8-recall,exp h9-precision,exp_p1 h9-precision,exp h9-recall,exp_p1 h9-recall,exp h10-precision,exp_p1 h10-precision,exp h10-recall,exp_p1 h10-recall,exp h11-precision,exp_p1 h11-precision,exp h11-recall,exp_p1 h11-recall,exp h12-precision,exp_p1 h12-precision,exp h12-recall,exp_p1 h12-recall,exp h13-precision,exp_p1 h13-precision,exp h13-recall,exp_p1 h13-recall,exp h14-precision,exp_p1 h14-precision,exp h14-recall,exp_p1 h14-recall,exp h15-precision,exp_p1 h15-precision,exp h15-recall,exp_p1 h15-recall,exp h16-precision,exp_p1 h16-precision,exp h16-recall,exp_p1 h16-recall,exp h17-precision,exp_p1 h17-precision,exp h17-recall,exp_p1 h17-recall,exp h18-precision,exp_p1 h18-precision,exp h18-recall,exp_p1 h18-recall,exp h19-precision,exp_p1 h19-precision,exp h19-recall,exp_p1 h19-recall,exp h20-precision,exp_p1 h20-precision,exp h20-recall,exp_p1 h20-recall
formspree,83.3333%,83.0189%,15.6827%,16.2362%,53.9216%,53.7736%,15.7143%,16.2857%,43.1373%,43.3962%,18.6441%,19.4915%,38.2353%,38.6792%,23.2143%,24.4048%,33.3333%,33.9623%,23.2877%,24.6575%,25.4902%,26.4151%,23.2143%,25.0000%,21.5686%,22.6415%,24.4444%,26.6667%,17.6471%,18.8679%,25.7143%,28.5714%,15.6863%,16.9811%,28.5714%,32.1429%,14.7059%,16.0377%,31.2500%,35.4167%,13.7255%,15.0943%,36.8421%,42.1053%,9.8039%,11.3208%,31.2500%,37.5000%,9.8039%,11.3208%,31.2500%,37.5000%,8.8235%,9.4340%,37.5000%,41.6667%,8.8235%,9.4340%,40.9091%,45.4545%,7.8431%,8.4906%,40.0000%,45.0000%,7.8431%,8.4906%,44.4444%,50.0000%,6.8627%,7.5472%,50.0000%,57.1429%,6.8627%,7.5472%,50.0000%,57.1429%,6.8627%,7.5472%,50.0000%,57.1429%
freqtrade,80.6008%,78.8779%,5.4172%,6.0313%,55.3191%,55.3355%,9.3883%,10.6839%,41.5519%,41.0341%,12.7496%,14.3241%,31.9149%,31.7932%,15.2878%,17.3261%,26.0325%,25.8526%,17.8388%,20.1544%,22.4030%,22.3322%,19.5842%,22.2101%,18.8986%,18.8119%,20.7418%,23.4890%,16.1452%,15.9516%,22.2414%,25.0000%,13.6421%,13.4213%,23.2906%,26.0684%,11.7647%,11.5512%,24.2268%,27.0619%,9.5119%,9.5710%,23.7500%,27.1875%,8.6358%,8.6909%,23.3108%,26.6892%,7.6345%,7.5908%,24.4000%,27.6000%,6.8836%,6.7107%,25.7009%,28.5047%,5.8824%,5.8306%,24.7368%,27.8947%,5.3817%,5.3905%,25.2941%,28.8235%,4.7559%,4.6205%,25.3333%,28.0000%,4.2553%,4.1804%,26.5625%,29.6875%,3.8798%,3.8504%,25.8333%,29.1667%,3.3792%,3.4103%,25.0000%,28.7037%
gajim,74.0741%,74.7161%,4.3514%,7.3503%,53.7538%,56.8440%,5.2005%,9.2098%,41.4414%,45.6067%,6.4951%,11.9705%,29.7297%,36.2821%,7.0047%,14.3160%,22.3223%,28.9898%,8.3147%,18.0835%,18.0180%,23.4310%,10.1010%,21.9978%,13.5135%,18.2307%,10.6635%,24.0916%,11.1111%,15.4214%,11.9099%,27.6824%,9.0090%,12.9109%,12.6050%,30.2521%,7.2072%,10.7591%,13.4831%,33.7079%,6.4064%,9.9223%,14.3498%,37.2197%,5.7057%,8.9659%,15.5738%,40.9836%,5.0050%,8.2487%,15.6250%,43.1250%,4.4044%,7.1130%,16.6667%,45.0758%,3.8038%,6.3957%,16.2393%,45.7265%,3.4034%,5.7382%,16.8317%,47.5248%,3.1031%,5.2002%,17.8161%,50.0000%,2.8028%,4.8416%,18.6667%,54.0000%,2.4024%,4.4830%,17.3913%,54.3478%,2.2022%,4.2439%,16.9231%,54.6154%
gallery-dl,53.0675%,52.2388%,2.7399%,3.6031%,32.8221%,34.9024%,3.1014%,4.4058%,23.1595%,25.0287%,3.3245%,4.7996%,17.7914%,19.4030%,3.6047%,5.2517%,14.2638%,14.5809%,4.2661%,5.8257%,11.8098%,10.6774%,5.0725%,6.1265%,8.1288%,7.4627%,4.6737%,5.7319%,6.4417%,6.0850%,4.7191%,5.9551%,4.6012%,4.3628%,4.4776%,5.6716%,3.6810%,3.0999%,4.9793%,5.6017%,3.2209%,2.6406%,6.3253%,6.9277%,3.0675%,2.5258%,8.9286%,9.8214%,2.7607%,2.2962%,11.6883%,12.9870%,2.3006%,1.9518%,13.6364%,15.4545%,1.9939%,1.7222%,16.6667%,19.2308%,1.6871%,1.4925%,18.3333%,21.6667%,1.3804%,1.0333%,18.7500%,18.7500%,1.2270%,0.9185%,21.0526%,21.0526%,1.0736%,0.8037%,23.3333%,23.3333%,0.9202%,0.6889%,27.2727%,27.2727%
gensim,17.4931%,15.6963%,1.8047%,2.1836%,14.5546%,13.1767%,2.2035%,2.6901%,11.2948%,10.4528%,2.9825%,3.7221%,9.4582%,8.3078%,5.4671%,6.4756%,7.4380%,6.3670%,7.9024%,9.1220%,5.4178%,4.6987%,10.3327%,12.0841%,4.3618%,3.7113%,13.3427%,15.3090%,3.4435%,2.9282%,14.5349%,16.6667%,2.8007%,2.3493%,16.1376%,18.2540%,2.2498%,1.9067%,17.1329%,19.5804%,1.6988%,1.4981%,17.4528%,20.7547%,1.5152%,1.3619%,20.1220%,24.3902%,1.1478%,1.0895%,19.5313%,25.0000%,0.8724%,0.8172%,21.1111%,26.6667%,0.7346%,0.7150%,22.2222%,29.1667%,0.5969%,0.6129%,22.4138%,31.0345%,0.5510%,0.5788%,23.0769%,32.6923%,0.5051%,0.5107%,22.9167%,31.2500%,0.4132%,0.3745%,28.1250%,34.3750%,0.2755%,0.2383%,27.2727%,31.8182%
gensim-old,90.3683%,88.4892%,2.9914%,3.4602%,83.8527%,81.7746%,3.9102%,4.5046%,70.8215%,68.5851%,4.9960%,5.7154%,57.5071%,53.9568%,7.6546%,8.4842%,46.4589%,42.6859%,10.6355%,11.5435%,36.5439%,34.0528%,14.1138%,15.5361%,28.0453%,25.6595%,17.1280%,18.5121%,23.5127%,21.1031%,19.5755%,20.7547%,19.2635%,17.0264%,22.2222%,23.2026%,17.2805%,15.3477%,25.6303%,26.8908%,13.0312%,11.7506%,25.8427%,27.5281%,11.3314%,10.3118%,28.9855%,31.1594%,8.7819%,8.1535%,29.2453%,32.0755%,6.2323%,5.5156%,32.3529%,33.8235%,5.0992%,4.5564%,36.0000%,38.0000%,3.9660%,3.5971%,36.8421%,39.4737%,3.6827%,3.3573%,36.1111%,38.8889%,3.3994%,3.1175%,35.2941%,38.2353%,2.2663%,1.9185%,36.3636%,36.3636%,1.6997%,1.4388%,37.5000%,37.5000%
geopy,84.2912%,84.0909%,4.9305%,4.9753%,67.8161%,67.8030%,5.5907%,5.6538%,57.4713%,57.5758%,6.2035%,6.2862%,49.4253%,49.2424%,6.7328%,6.7850%,42.1456%,42.0455%,7.1244%,7.1891%,34.8659%,34.8485%,6.8939%,6.9697%,29.5019%,29.5455%,6.5812%,6.6667%,25.2874%,25.0000%,6.6532%,6.6532%,21.0728%,20.8333%,6.3953%,6.3953%,18.3908%,18.1818%,7.1429%,7.1429%,14.1762%,14.0152%,7.2835%,7.2835%,10.3448%,10.2273%,6.6502%,6.6502%,9.5785%,9.4697%,7.2674%,7.2674%,8.4291%,8.3333%,7.5862%,7.5862%,8.4291%,8.3333%,8.1481%,8.1481%,6.5134%,6.4394%,6.9106%,6.9106%,6.5134%,6.4394%,7.0248%,7.0248%,6.1303%,6.0606%,6.9565%,6.9565%,4.9808%,4.9242%,6.1905%,6.1905%,4.9808%,4.9242%,6.5657%,6.5657%
glance,97.6667%,97.1576%,3.1038%,3.9831%,94.0000%,91.9897%,3.3919%,4.2819%,86.6667%,85.2713%,3.6806%,4.6716%,77.3333%,75.1938%,4.4224%,5.5471%,57.0000%,53.7468%,5.5592%,6.7620%,35.3333%,34.3669%,5.1607%,6.4752%,26.6667%,26.0982%,5.0505%,6.3763%,20.6667%,19.8966%,4.8589%,6.0345%,17.6667%,16.5375%,4.7920%,5.7866%,15.0000%,13.6951%,4.7771%,5.6263%,14.0000%,12.9199%,5.1095%,6.0827%,13.3333%,11.8863%,5.2632%,6.0526%,12.6667%,11.1111%,5.2925%,5.9889%,12.3333%,10.8527%,5.4094%,6.1404%,11.3333%,9.8191%,5.1829%,5.7927%,11.0000%,9.3023%,5.3922%,5.8824%,10.3333%,8.5271%,5.4386%,5.7895%,9.3333%,7.7519%,5.2830%,5.6604%,8.6667%,7.2351%,5.2419%,5.6452%,8.3333%,6.9767%,5.7339%,6.1927%
glances,92.6829%,90.9931%,3.2402%,4.1995%,88.7195%,85.6813%,3.6212%,4.6167%,80.1829%,78.2910%,3.8745%,4.9941%,72.2561%,69.7460%,4.6727%,5.9543%,54.5732%,50.8083%,5.9193%,7.2751%,30.7927%,30.0231%,4.9125%,6.3230%,22.8659%,22.6328%,4.8701%,6.3636%,18.5976%,17.5520%,4.8031%,5.9843%,16.1585%,15.0115%,4.8094%,5.8984%,14.3293%,12.4711%,5.0976%,5.8568%,12.5000%,11.0855%,5.1508%,6.0302%,11.2805%,10.1617%,5.2408%,6.2323%,10.3659%,9.2379%,5.1988%,6.1162%,9.4512%,8.3141%,5.0162%,5.8252%,9.4512%,8.0831%,5.2901%,5.9727%,9.4512%,8.0831%,5.4386%,6.1404%,9.1463%,7.6212%,5.7034%,6.2738%,8.2317%,6.6975%,5.5556%,5.9671%,7.3171%,6.0046%,5.2632%,5.7018%,7.0122%,5.7737%,5.4245%,5.8962%
google-api-python-client,98.3333%,96.3235%,2.5832%,2.8678%,93.3333%,91.1765%,3.0635%,3.3917%,50.8333%,51.4706%,3.5798%,4.1080%,30.0000%,32.3529%,5.6962%,6.9620%,26.6667%,26.4706%,12.0301%,13.5338%,21.6667%,21.3235%,15.4762%,17.2619%,18.3333%,16.9118%,19.2982%,20.1754%,11.6667%,11.0294%,20.0000%,21.4286%,9.1667%,8.8235%,20.3704%,22.2222%,9.1667%,8.8235%,22.9167%,25.0000%,6.6667%,6.6176%,23.5294%,26.4706%,5.0000%,5.1471%,25.0000%,29.1667%,3.3333%,3.6765%,22.2222%,27.7778%,3.3333%,3.6765%,33.3333%,41.6667%,3.3333%,3.6765%,33.3333%,41.6667%,3.3333%,3.6765%,33.3333%,41.6667%,3.3333%,3.6765%,33.3333%,41.6667%,3.3333%,3.6765%,33.3333%,41.6667%,3.3333%,3.6765%,33.3333%,41.6667%,1.6667%,2.2059%,33.3333%,50.0000%
gpodder,86.5672%,89.3720%,0.7007%,2.2348%,76.1194%,84.0580%,0.8142%,2.7778%,65.6716%,76.8116%,0.9042%,3.2676%,64.1791%,71.0145%,1.1014%,3.7654%,59.7015%,63.2850%,1.1574%,3.7905%,59.7015%,61.8357%,1.2188%,3.9001%,59.7015%,60.3865%,1.2446%,3.8892%,58.2090%,59.4203%,1.3140%,4.1442%,58.2090%,58.4541%,1.4695%,4.5592%,56.7164%,57.0048%,1.6507%,5.1260%,55.2239%,53.6232%,2.0174%,6.0523%,53.7313%,52.6570%,2.6627%,8.0621%,53.7313%,50.2415%,3.3962%,9.8113%,53.7313%,48.7923%,4.4665%,12.5310%,46.2687%,41.0628%,5.0162%,13.7540%,41.7910%,37.6812%,6.1135%,17.0306%,31.3433%,31.4010%,5.8659%,18.1564%,28.3582%,28.9855%,6.7857%,21.4286%,22.3881%,25.6039%,7.0093%,24.7664%,19.4030%,24.1546%,6.9892%,26.8817%
gramps,90.4159%,90.0089%,0.5970%,0.8058%,86.4527%,86.4414%,0.5922%,0.8029%,83.3484%,83.7186%,0.6112%,0.8324%,74.2767%,75.9836%,0.6685%,0.9273%,57.7908%,59.8466%,0.7204%,1.0116%,46.2327%,46.7215%,0.8688%,1.1906%,32.5347%,32.2627%,1.3283%,1.7860%,23.2218%,22.8162%,1.8524%,2.4678%,16.9078%,16.8593%,2.6125%,3.5322%,12.7486%,12.7917%,3.5185%,4.7871%,8.6799%,8.9242%,4.1788%,5.8256%,6.2538%,6.4903%,4.9713%,6.9957%,4.5811%,4.7900%,5.7927%,8.2127%,3.4358%,3.5897%,6.3687%,9.0223%,2.4262%,2.5450%,6.4349%,9.1527%,1.8083%,1.9338%,6.5789%,9.5395%,1.3713%,1.5337%,6.6423%,10.0730%,1.0699%,1.1780%,7.1717%,10.7071%,0.8590%,0.9558%,7.9832%,12.0448%,0.6480%,0.7335%,8.0224%,12.3134%
graphene,93.7158%,92.8747%,3.1949%,3.5209%,82.7869%,82.5553%,4.6558%,5.1629%,73.2240%,72.9730%,7.2432%,8.0270%,60.9290%,60.4423%,10.0090%,11.0413%,51.3661%,50.3686%,13.5642%,14.7908%,43.1694%,41.7690%,16.9165%,18.2013%,36.3388%,33.9066%,20.0301%,20.7831%,28.1421%,25.7985%,21.7300%,22.1519%,21.5847%,19.6560%,24.5342%,24.8447%,13.6612%,12.5307%,24.0385%,24.5192%,9.5628%,8.5995%,22.4359%,22.4359%,8.1967%,7.3710%,25.0000%,25.0000%,6.5574%,5.8968%,30.7692%,30.7692%,5.7377%,5.1597%,30.8824%,30.8824%,5.1913%,4.6683%,31.6667%,31.6667%,3.5519%,3.1941%,27.0833%,27.0833%,3.0055%,2.7027%,28.9474%,28.9474%,2.1858%,1.9656%,30.7692%,30.7692%,2.1858%,1.9656%,36.3636%,36.3636%,1.9126%,1.7199%,38.8889%,38.8889%
graphene-django,81.9905%,78.9683%,2.1206%,2.4393%,55.9242%,55.9524%,4.9789%,5.9494%,35.5450%,35.3175%,8.4650%,10.0451%,25.5924%,25.0000%,11.3445%,13.2353%,20.3791%,20.6349%,15.3571%,18.5714%,15.1659%,15.4762%,19.0476%,23.2143%,11.3744%,11.1111%,22.6415%,26.4151%,8.0569%,7.5397%,23.6111%,26.3889%,5.6872%,5.5556%,23.0769%,26.9231%,5.2133%,4.7619%,25.0000%,27.2727%,4.2654%,3.9683%,23.6842%,26.3158%,3.7915%,3.5714%,26.6667%,30.0000%,2.8436%,2.7778%,27.2727%,31.8182%,2.3697%,2.3810%,31.2500%,37.5000%,2.3697%,2.3810%,35.7143%,42.8571%,1.4218%,1.1905%,30.0000%,30.0000%,0.9479%,0.7937%,33.3333%,33.3333%,0.9479%,0.7937%,50.0000%,50.0000%,0.9479%,0.7937%,50.0000%,50.0000%,0.9479%,0.7937%,50.0000%,50.0000%
great_expectations,78.0370%,77.0367%,1.5170%,1.6735%,46.0882%,46.1303%,2.4490%,2.7392%,28.2219%,29.2770%,2.7898%,3.2342%,20.0569%,21.2322%,3.4200%,4.0458%,14.4523%,15.7587%,4.1180%,5.0178%,11.6358%,12.8564%,5.3944%,6.6605%,9.3599%,10.3360%,6.7418%,8.3197%,7.5391%,8.2994%,8.0842%,9.9451%,6.0313%,6.7464%,9.2014%,11.5017%,5.1209%,5.7536%,10.7784%,13.5329%,4.1252%,4.7352%,11.4353%,14.6688%,3.3570%,3.8951%,11.5010%,14.9123%,2.9303%,3.4623%,12.6536%,16.7076%,2.6458%,3.2077%,13.3621%,18.1034%,2.1622%,2.7495%,13.3803%,19.0141%,2.0484%,2.5458%,15.3191%,21.2766%,1.8492%,2.3167%,16.0891%,22.5248%,1.7639%,2.1640%,17.7143%,24.2857%,1.5078%,1.9094%,18.1507%,25.6849%,1.2802%,1.6548%,17.5781%,25.3906%
guake,100.0000%,100.0000%,5.6102%,9.5472%,98.2456%,97.9381%,8.5106%,14.4377%,91.2281%,89.6907%,10.7438%,17.9752%,82.4561%,82.4742%,13.3523%,22.7273%,77.1930%,74.2268%,16.4179%,26.8657%,66.6667%,64.9485%,19.1919%,31.8182%,59.6491%,56.7010%,22.3684%,36.1842%,52.6316%,51.5464%,22.0588%,36.7647%,42.1053%,43.2990%,23.5294%,41.1765%,35.0877%,38.1443%,23.2558%,43.0233%,29.8246%,30.9278%,26.5625%,46.8750%,26.3158%,24.7423%,31.2500%,50.0000%,22.8070%,22.6804%,30.9524%,52.3810%,21.0526%,21.6495%,31.5789%,55.2632%,21.0526%,21.6495%,33.3333%,58.3333%,19.2982%,20.6186%,34.3750%,62.5000%,14.0351%,17.5258%,30.7692%,65.3846%,14.0351%,17.5258%,30.7692%,65.3846%,12.2807%,15.4639%,29.1667%,62.5000%,12.2807%,14.4330%,35.0000%,70.0000%
gunicorn,81.0345%,84.1463%,2.0760%,3.0477%,50.0000%,54.8780%,3.4118%,5.2941%,41.3793%,46.3415%,7.6677%,12.1406%,36.2069%,39.6341%,9.3750%,14.5089%,29.3103%,34.1463%,10.8280%,17.8344%,25.8621%,29.2683%,12.2951%,19.6721%,23.2759%,26.2195%,14.2105%,22.6316%,17.2414%,20.7317%,13.3333%,22.6667%,12.9310%,16.4634%,13.6364%,24.5455%,8.6207%,12.1951%,11.6279%,23.2558%,7.7586%,10.9756%,13.6364%,27.2727%,6.0345%,9.7561%,12.0690%,27.5862%,5.1724%,7.9268%,13.6364%,29.5455%,4.3103%,6.7073%,13.1579%,28.9474%,3.4483%,6.0976%,11.1111%,27.7778%,3.4483%,6.0976%,11.1111%,27.7778%,2.5862%,5.4878%,8.8235%,26.4706%,2.5862%,5.4878%,11.5385%,34.6154%,0.8621%,4.2683%,4.5455%,31.8182%,0.8621%,3.6585%,5.5556%,33.3333%
horizon,81.0059%,74.0225%,1.0850%,1.3053%,55.5030%,49.9326%,1.7392%,2.0600%,43.0178%,38.3820%,2.1695%,2.5485%,34.2012%,30.6067%,2.9583%,3.4855%,28.4024%,25.3933%,4.4053%,5.1854%,23.2544%,20.7640%,5.8188%,6.8404%,19.2899%,17.2584%,7.5358%,8.8766%,15.5030%,13.8876%,9.6324%,11.3603%,12.6036%,11.1011%,12.3407%,14.3105%,10.1775%,8.9438%,13.8264%,15.9968%,8.0473%,7.1910%,15.1111%,17.7778%,6.0355%,5.5281%,15.6923%,18.9231%,5.0888%,4.5393%,16.7969%,19.7266%,4.3195%,3.8652%,18.5279%,21.8274%,3.6686%,3.1910%,20.6667%,23.6667%,3.3136%,2.8764%,22.4000%,25.6000%,2.9586%,2.5169%,24.0385%,26.9231%,2.3077%,1.9775%,25.0000%,28.2051%,1.9527%,1.6180%,27.0492%,29.5082%,1.7160%,1.4382%,28.4314%,31.3725%
httpie,90.1345%,90.1060%,5.7527%,7.2982%,60.0897%,63.2509%,7.2276%,9.6548%,41.2556%,44.8763%,7.8098%,10.7810%,32.2870%,36.3958%,8.7379%,12.5000%,26.0090%,28.9753%,9.5395%,13.4868%,19.7309%,22.9682%,9.7345%,14.3805%,13.4529%,16.6078%,8.3799%,13.1285%,9.8655%,13.4276%,7.9137%,13.6691%,7.6233%,10.9541%,7.5893%,13.8393%,6.2780%,8.1272%,8.4337%,13.8554%,4.9327%,6.0071%,8.0882%,12.5000%,4.0359%,4.9470%,8.8235%,13.7255%,4.0359%,4.2403%,10.4651%,13.9535%,3.1390%,2.8269%,11.2903%,12.9032%,3.1390%,2.8269%,15.9091%,18.1818%,2.2422%,2.1201%,13.8889%,16.6667%,1.7937%,1.7668%,14.2857%,17.8571%,0.8969%,1.0601%,11.1111%,16.6667%,0.8969%,0.7067%,14.2857%,14.2857%,0.4484%,0.3534%,10.0000%,10.0000%
httpx,95.6044%,95.2000%,4.6976%,6.4255%,82.4176%,84.8000%,5.9242%,8.3728%,69.2308%,73.6000%,7.0946%,10.3604%,46.1538%,53.6000%,6.7742%,10.8065%,39.5604%,43.2000%,8.2192%,12.3288%,34.0659%,37.6000%,9.0116%,13.6628%,30.7692%,34.4000%,10.3704%,15.9259%,23.0769%,27.2000%,10.1942%,16.5049%,19.7802%,22.4000%,11.3924%,17.7215%,17.5824%,20.0000%,12.6984%,19.8413%,14.2857%,16.8000%,12.0370%,19.4444%,12.0879%,14.4000%,12.5000%,20.4545%,8.7912%,12.0000%,11.1111%,20.8333%,4.3956%,8.8000%,6.8966%,18.9655%,3.2967%,7.2000%,6.5217%,19.5652%,3.2967%,6.4000%,8.3333%,22.2222%,3.2967%,6.4000%,10.0000%,26.6667%,3.2967%,4.8000%,11.5385%,23.0769%,2.1978%,4.0000%,10.0000%,25.0000%,1.0989%,2.4000%,8.3333%,25.0000%
huey,80.6122%,79.6748%,9.2941%,11.5294%,55.1020%,56.0976%,10.5058%,13.4241%,44.8980%,46.3415%,14.9660%,19.3878%,28.5714%,31.7073%,15.7303%,21.9101%,23.4694%,25.2033%,17.9688%,24.2188%,17.3469%,19.5122%,25.7576%,36.3636%,15.3061%,17.8862%,26.7857%,39.2857%,14.2857%,17.0732%,28.0000%,42.0000%,14.2857%,15.4472%,36.8421%,50.0000%,12.2449%,13.8211%,40.0000%,56.6667%,12.2449%,13.8211%,42.8571%,60.7143%,8.1633%,9.7561%,44.4444%,66.6667%,6.1224%,7.3171%,42.8571%,64.2857%,6.1224%,7.3171%,42.8571%,64.2857%,6.1224%,6.5041%,50.0000%,66.6667%,5.1020%,5.6911%,50.0000%,70.0000%,4.0816%,4.8780%,50.0000%,75.0000%,4.0816%,4.8780%,50.0000%,75.0000%,3.0612%,4.0650%,50.0000%,83.3333%,3.0612%,4.0650%,50.0000%,83.3333%
hug,98.9247%,98.4615%,0.7073%,0.9840%,91.3978%,86.1538%,2.0571%,2.7106%,62.3656%,63.0769%,2.4597%,3.4775%,45.1613%,49.2308%,3.2659%,4.9767%,33.3333%,40.7692%,3.4141%,5.8370%,32.2581%,37.6923%,4.6729%,7.6324%,27.9570%,33.8462%,5.1181%,8.6614%,26.8817%,32.3077%,6.4433%,10.8247%,24.7312%,29.2308%,8.2734%,13.6691%,22.5806%,23.0769%,9.8131%,14.0187%,21.5054%,21.5385%,11.7647%,16.4706%,21.5054%,20.7692%,14.4928%,19.5652%,18.2796%,17.6923%,15.4545%,20.9091%,16.1290%,15.3846%,17.0455%,22.7273%,11.8280%,12.3077%,15.7143%,22.8571%,9.6774%,10.7692%,17.3077%,26.9231%,8.6022%,9.2308%,18.1818%,27.2727%,8.6022%,9.2308%,18.1818%,27.2727%,7.5269%,8.4615%,19.4444%,30.5556%,7.5269%,7.6923%,21.8750%,31.2500%
hy,100.0000%,100.0000%,9.6154%,10.0000%,86.6667%,85.8974%,10.7616%,11.0927%,84.0000%,83.3333%,12.1154%,12.5000%,84.0000%,83.3333%,12.6506%,13.0522%,82.6667%,82.0513%,13.7778%,14.2222%,78.6667%,78.2051%,13.9151%,14.3868%,76.0000%,75.6410%,16.1017%,16.6667%,68.0000%,67.9487%,17.3469%,18.0272%,64.0000%,62.8205%,20.3390%,20.7627%,58.6667%,57.6923%,23.4043%,23.9362%,50.6667%,50.0000%,23.7500%,24.3750%,45.3333%,44.8718%,26.9841%,27.7778%,44.0000%,43.5897%,28.9474%,29.8246%,37.3333%,37.1795%,28.0000%,29.0000%,34.6667%,34.6154%,30.2326%,31.3953%,28.0000%,28.2051%,28.3784%,29.7297%,21.3333%,21.7949%,27.5862%,29.3103%,21.3333%,21.7949%,33.3333%,35.4167%,18.6667%,17.9487%,41.1765%,41.1765%,18.6667%,17.9487%,43.7500%,43.7500%
hydra,75.6661%,71.8241%,2.4376%,2.5235%,46.0036%,43.4853%,5.3623%,5.5280%,34.4583%,32.4104%,7.8990%,8.1026%,25.9325%,24.4300%,9.3590%,9.6154%,20.2487%,19.2182%,10.9615%,11.3462%,16.5187%,15.7980%,12.9888%,13.5475%,14.2096%,13.3550%,14.5985%,14.9635%,12.7886%,12.0521%,16.5899%,17.0507%,10.8348%,10.2606%,17.7326%,18.3140%,9.9467%,9.4463%,20.2899%,21.0145%,7.8153%,7.4919%,20.1835%,21.1009%,6.7496%,6.3518%,21.3483%,21.9101%,5.1510%,4.8860%,21.0145%,21.7391%,4.4405%,4.2345%,21.5517%,22.4138%,3.5524%,3.4202%,23.2558%,24.4186%,2.6643%,2.6059%,20.8333%,22.2222%,2.3091%,2.2801%,20.9677%,22.5806%,2.1314%,2.1173%,25.0000%,27.0833%,1.9538%,1.9544%,26.1905%,28.5714%,1.7762%,1.7915%,27.7778%,30.5556%
hyperopt,100.0000%,100.0000%,4.0444%,5.1943%,97.0588%,96.9466%,4.6479%,5.9624%,81.3725%,80.9160%,7.8450%,10.0189%,65.6863%,65.6489%,11.3176%,14.5270%,50.0000%,52.6718%,14.8256%,20.0581%,40.1961%,42.7481%,18.3036%,25.0000%,30.3922%,30.5344%,22.1429%,28.5714%,24.5098%,24.4275%,25.5102%,32.6531%,20.5882%,20.6107%,29.1667%,37.5000%,16.6667%,16.7939%,31.4815%,40.7407%,15.6863%,15.2672%,36.3636%,45.4545%,14.7059%,14.5038%,37.5000%,47.5000%,14.7059%,13.7405%,39.4737%,47.3684%,14.7059%,13.7405%,41.6667%,50.0000%,13.7255%,12.2137%,50.0000%,57.1429%,11.7647%,10.6870%,50.0000%,58.3333%,9.8039%,8.3969%,50.0000%,55.0000%,8.8235%,7.6336%,50.0000%,55.5556%,8.8235%,6.8702%,56.2500%,56.2500%,8.8235%,6.8702%,56.2500%,56.2500%
hypothesis,93.4307%,92.9198%,0.9755%,1.0502%,87.4453%,87.0533%,1.0862%,1.1705%,84.0146%,83.4794%,1.0686%,1.1493%,83.2117%,82.4680%,1.0681%,1.1459%,77.0073%,75.9946%,1.2748%,1.3618%,67.8102%,66.8240%,1.3400%,1.4295%,61.6788%,60.3506%,1.3648%,1.4456%,54.0876%,52.8658%,1.9345%,2.0468%,41.7518%,40.9305%,3.2456%,3.4442%,28.6131%,28.4558%,5.8057%,6.2500%,19.3431%,19.4201%,8.8867%,9.6579%,13.0657%,13.2165%,12.5879%,13.7834%,9.4161%,9.7100%,16.2879%,18.1818%,6.7883%,6.9454%,18.9796%,21.0204%,5.1095%,5.3270%,21.4724%,24.2331%,4.0146%,4.1133%,26.6990%,29.6117%,2.9197%,3.0344%,26.6667%,30.0000%,2.1898%,2.3601%,27.7778%,32.4074%,2.0438%,2.2252%,30.4348%,35.8696%,1.6788%,1.6183%,30.2632%,31.5789%
ignite,73.8636%,72.8661%,2.6897%,2.7966%,55.0189%,53.8185%,3.6349%,3.7475%,38.4470%,37.7358%,4.6517%,4.8121%,27.4621%,26.7745%,5.9524%,6.1166%,21.8750%,21.3836%,7.3009%,7.5221%,16.7614%,16.1725%,8.9939%,9.1463%,12.5947%,12.0395%,10.0000%,10.0752%,9.1856%,8.8050%,9.4358%,9.5331%,6.9129%,6.6487%,9.6561%,9.7884%,6.2500%,6.0198%,11.4583%,11.6319%,5.2083%,5.0314%,14.0306%,14.2857%,4.0720%,3.9533%,13.8710%,14.1935%,3.6932%,3.5939%,17.2566%,17.6991%,3.3144%,3.2345%,19.2308%,19.7802%,2.0833%,2.0665%,19.6429%,20.5357%,1.7992%,1.7969%,21.5909%,22.7273%,1.5152%,1.5274%,25.0000%,26.5625%,1.1364%,1.1680%,30.0000%,32.5000%,0.9470%,0.9883%,33.3333%,36.6667%,0.8523%,0.8985%,34.6154%,38.4615%
