project,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20
Theano,84998,35128,17952,10644,7012,4834,3548,2594,2064,1658,1340,1080,908,786,678,572,508,452,394,366
thefuck,63282,19338,3850,1234,572,274,136,92,56,48,36,26,22,16,16,16,12,12,6,6
theHarvester,1544,1062,768,560,358,200,136,70,42,26,22,14,10,10,8,8,6,4,4,4
thumbor,29470,19650,8604,3642,1514,840,530,344,264,194,144,120,102,80,66,44,38,28,26,26
tianshou,16498,8084,4542,2978,2078,1486,986,738,566,418,330,272,218,184,152,128,110,96,92,78
tinygrad,662,222,136,80,54,38,26,16,16,14,12,12,12,12,12,8,8,8,8,6
toolz,520,182,110,54,36,26,26,22,16,14,8,6,6,6,4,4,4,4,4,4
tornado,7326,5840,4898,4110,3560,3066,2730,2458,2170,1928,1698,1482,1290,1114,964,842,726,638,560,486
tpot,1162,436,216,178,128,100,80,66,56,42,38,36,30,24,22,18,18,18,16,16
tqdm,2766,1156,500,252,166,108,60,36,28,18,10,10,10,8,8,8,6,6,6,4
tribler,37664,10554,4074,2028,1264,784,488,268,144,82,58,42,28,20,18,14,10,10,10,6
tvm,954848,338824,140100,54780,26006,12610,6236,2634,1534,1050,732,514,388,276,208,156,124,98,82,70
twisted,719190,7652,1024,452,240,106,58,52,40,34,32,28,20,14,12,10,10,10,8,8
urllib3,4268,3962,3342,1944,1314,856,584,398,288,224,190,152,120,100,84,70,62,50,46,42
visidata,5514,2856,1746,1200,808,584,440,338,244,180,144,108,94,70,56,52,46,38,34,28
vision,31778,6844,2276,1104,684,480,326,234,180,146,116,90,74,68,52,40,36,36,32,30
vyper,69902,39348,24124,14098,9944,7068,5160,3634,2564,1866,1338,896,580,382,228,116,72,50,32,14
wagtail,295856,78228,16766,5258,2116,1090,648,432,326,228,160,132,108,92,74,54,50,36,32,26
walle-web,5534,1298,640,346,204,128,80,48,30,16,12,6,2,2,2,2,2,2,2,2
WeasyPrint,4162,1124,798,680,602,520,476,428,368,324,282,250,226,198,182,164,154,134,114,102
websockets,2832,1290,726,446,274,190,138,104,68,54,44,30,22,16,14,10,6,2,2,2
werkzeug,12344,9088,6620,4772,3832,3054,2354,1798,1482,1204,934,712,532,420,328,240,172,110,80,50
wfuzz,14338,6060,4226,2092,892,306,156,104,76,56,46,36,30,28,22,16,14,8,8,6
wifiphisher,824,480,268,170,108,68,46,38,32,24,18,14,10,8,6,4,4,4,4,4
wxpy,1396,770,380,262,178,110,76,52,42,28,26,26,22,20,14,14,12,12,12,8
XX-Net,529308,93248,85398,1130,600,356,234,160,100,76,52,44,30,24,20,16,10,6,4,4
yapf,2266,2196,1848,1530,986,726,548,412,338,270,214,166,146,124,110,100,90,82,76,72
yellowbrick,22196,9024,3872,1824,826,448,272,170,106,70,50,42,24,14,8,8,8,8,8,6
yolov5,560,346,262,184,150,120,102,90,72,60,54,48,42,40,34,32,28,24,22,16
Zappa,366,198,118,94,66,56,44,40,32,24,20,16,14,14,12,12,12,12,12,10
zipline,16528,6552,3552,2218,1498,1074,820,646,526,422,336,270,248,216,190,178,144,126,102,86
zulip,83652,38802,21410,13590,9020,6328,4398,3102,2140,1492,1126,904,726,632,544,492,446,400,366,326
