project,Url,Description,Files,Loc,Commit,IssueCommit,Committer,IssueCommiter,PyFiles,PyLoc,AvgLoCPerFile
pyramid,https://github.com/Pylons/pyramid,Pyramid - A Python web frameworkpyramid,328,43034,5403,176,256,29,314,42700,135.9872611
pyro,https://github.com/pyro-ppl/pyro,Deep universal probabilistic programming with Python and PyTorchpyro,586,83903,1872,1642,114,110,571,83117,145.5639229
pysc2,https://github.com/deepmind/pysc2,StarCraft II Learning Environmentpysc2,103,14967,511,0,34,0,103,14967,145.3106796
pysheeet,https://github.com/crazyguitar/pysheeet,Python Cheat Sheetpysheeet,16,668,771,3,41,1,3,284,94.66666667
PySimpleGUI,https://github.com/PySimpleGUI/PySimpleGUI,"Launched in 2018 Actively developed & supported. Supports tkinter, Qt, WxPython, Remi (in browser). Create custom GUI Windows simply, trivially with a full set of widgets. Multi-Window applications are also simple. Python 2.7 & 3 Support. 325+ Demo programs & Cookbook for rapid start. Extensive documentation.  Examples using Machine Learning(GUI, OpenCV Integration,  Chatterbot), Desktop Widgets (Rainmeter-like), Matplotlib + Pyplot integration, add GUI to command line scripts, PDF & Image Viewer. For both beginning and advanced programmers. docs -  PySimpleGUI.org GitHub - PySimpleGUI.com. Create complex windows simply.PySimpleGUI",497,72448,2644,1,14,1,443,62643,141.4063205
PySnooper,https://github.com/cool-RR/PySnooper,Never use print for debugging againPySnooper,23,4422,287,20,27,7,23,4422,192.2608696
pyspider,https://github.com/binux/pyspider,pyspider,133,16048,675,62,55,8,99,12817,129.4646465
pyTelegramBotAPI,https://github.com/eternnoir/pyTelegramBotAPI,Python Telegram bot api.pyTelegramBotAPI,41,7505,1047,46,182,14,39,7470,191.5384615
pytesseract,https://github.com/madmaze/pytesseract,A Python wrapper for Google Tesseractpytesseract,4,819,195,36,23,13,4,819,204.75
pytest,https://github.com/pytest-dev/pytest,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testingpytest",176,32580,3336,512,364,112,162,32144,198.4197531
pytext,https://github.com/facebookresearch/pytext,A natural language modeling framework based on PyTorchpytext,472,60212,1531,1149,205,135,380,53030,139.5526316
Python,https://github.com/TheAlgorithms/Python,All Algorithms implemented in PythonPython,786,32048,1249,1059,581,492,778,31139,40.02442159
python-binance,https://github.com/sammchardy/python-binance,Binance Exchange API python implementation for automated tradingpython-binance,14,3519,673,8,116,6,14,3519,251.3571429
python-cheatsheet,https://github.com/gto76/python-cheatsheet,Comprehensive Python Cheatsheetpython-cheatsheet,32,11352,2030,1,13,1,5,203,40.6
python-dotenv,https://github.com/theskumar/python-dotenv,python-dotenv,15,1328,216,37,46,19,15,1328,88.53333333
