project,und_avg_infectfile_authornum,und_avg_infectfile_issuenum,und_avg_infectfile_changecmt,und_avg_infectfile_changeloc,und_avg_infectfile_bugcmt,und_avg_infectfile_bugloc,und_avg_unfectfile_authornum,und_avg_unfectfile_issuenum,und_avg_unfectfile_changecmt,und_avg_unfectfile_changeloc,und_avg_unfectfile_bugcmt,und_avg_unfectfile_bugloc,p_avg_infectfile_authornum,p_avg_infectfile_issuenum,p_avg_infectfile_changecmt,p_avg_infectfile_changeloc,p_avg_infectfile_bugcmt,p_avg_infectfile_bugloc,p_avg_unfectfile_authornum,p_avg_unfectfile_issuenum,p_avg_unfectfile_changecmt,p_avg_unfectfile_changeloc,p_avg_unfectfile_bugcmt,p_avg_unfectfile_bugloc
ipython,8.949152542,2.36440678,35.72457627,768.6525424,2.521186441,28.40677966,1.605263158,0.228070175,3.245614035,99.46491228,0.236842105,5.026315789,8.568627451,2.231372549,33.70196078,724.4784314,2.380392157,26.75686275,1.157894737,0.157894737,2.178947368,84.2,0.157894737,4.778947368
isort,6.8125,9.020833333,39.75,745.3541667,9.583333333,144.3541667,0.777777778,0.206349206,1.53968254,66.49206349,0.222222222,14.36507937,5.23880597,6.552238806,29.11940299,555.8955224,6.955223881,104.8208955,0.568181818,0.159090909,1.227272727,61.84090909,0.181818182,18.43181818
jax,8.931506849,14.25114155,44.55707763,1497.283105,15.30593607,476.5525114,2.010752688,0.784946237,3.494623656,133.4731183,0.817204301,25.23655914,8.772321429,13.93303571,43.63392857,1471.21875,14.96428571,465.9151786,2.022727273,0.829545455,3.511363636,122.3295455,0.863636364,26.67045455
jieba,4.275862069,1.310344828,15.72413793,60359.13793,1.310344828,17.51724138,0.548387097,0.258064516,0.838709677,24.12903226,0.258064516,16.41935484,4.275862069,1.310344828,15.72413793,60359.13793,1.310344828,17.51724138,0.548387097,0.258064516,0.838709677,24.12903226,0.258064516,16.41935484
jsonschema,6.571428571,3.380952381,55.42857143,1531.619048,6.047619048,172.4285714,1.142857143,0,2.428571429,63.71428571,0,0,6.173913043,3.086956522,51.04347826,1410.347826,5.52173913,157.4347826,0.8,0,1.4,34.4,0,0
jumpgate,4.176470588,1.058823529,13.41176471,351.1764706,1.058823529,67.17647059,1.212121212,0.212121212,2.454545455,99.16161616,0.212121212,3.797979798,2.543478261,0.717391304,7.630434783,195.4347826,0.717391304,30.56521739,1.057142857,0.085714286,1.714285714,97.1,0.085714286,1.6
jumpserver,3.629807692,8.567307692,12.58653846,237.2692308,9.454326923,260.78125,0.693457944,0.446728972,0.947663551,22.15327103,0.463551402,14.11028037,3.533029613,8.179954442,12.08428246,229.1799544,9.022779043,248.8906606,0.64453125,0.4140625,0.85546875,19.42578125,0.4296875,13.22460938
kafka-python,6.413043478,8.739130435,23.42391304,612.0869565,8.880434783,230.2065217,2,1.125,3.1875,142.6666667,1.125,64.97916667,6.16,8.2,22.1,589.21,8.33,223.21,1.75,0.95,2.45,105.975,0.95,49.425
KaraKara,1.561403509,0,22.36842105,359.4561404,0,0,0.5625,0,4.166666667,79.22916667,0,0,1.542372881,0,21.77966102,350.2033898,0,0,0.543478261,0,4.130434783,78.91304348,0,0
keras,15.67832168,19.91608392,40.66433566,1421.517483,20.84615385,806.027972,3.075,3.7,4.45,162.7,3.85,169.1,14.55063291,18.46835443,37.34177215,1308.949367,19.34177215,757.7721519,2.64,3.12,3.72,118.84,3.16,91.92
keras-retinanet,6.973684211,0.789473684,26.31578947,469.4736842,0.815789474,22.73684211,1.5,0.076923077,2.923076923,58.96153846,0.076923077,9,6.355555556,0.711111111,23.28888889,420.2,0.733333333,24.4,0.947368421,0,1.473684211,24.42105263,0,0
keras-rl,5.125,5.5,21.375,938.25,5.75,162.75,1.804878049,2.024390244,5,141.8536585,2.024390244,79.92682927,3.451612903,4,11.58064516,421,4.064516129,143.8064516,0.444444444,0.166666667,0.944444444,15.05555556,0.166666667,6.722222222
kibble,1,0,14.33333333,321.3333333,0,0,0.940298507,0.014925373,4.462686567,193.4029851,0.014925373,0.268656716,1,0,14.33333333,321.3333333,0,0,0.940298507,0.014925373,4.462686567,193.4029851,0.014925373,0.268656716
kinto,5.105590062,4.186335404,24.23602484,528.2608696,4.403726708,118.7267081,1,0.076923077,2.692307692,58,0.076923077,5.076923077,5.080246914,4.160493827,24.09259259,525.0802469,4.37654321,117.9938272,1,0.083333333,2.833333333,61.75,0.083333333,5.5
kitty,2.335403727,5.366459627,36.44099379,768.7515528,5.453416149,71.89440994,0.568627451,0.31372549,2.098039216,47.31372549,0.31372549,1.980392157,2.288235294,5.105882353,34.59411765,727.8235294,5.188235294,67.87647059,0.380952381,0.285714286,2.214285714,58.38095238,0.285714286,3.261904762
kivy,10.67419355,4.3,30.12580645,750.6580645,4.422580645,94.70645161,2.1,0.613333333,3.073333333,89.34,0.626666667,17.54,9.404891304,3.769021739,26.00543478,653.7092391,3.877717391,83.88043478,1.77173913,0.413043478,2.5,60.2173913,0.413043478,12.19565217
knowledge-repo,3.441558442,2.844155844,8.064935065,177.038961,2.909090909,51.50649351,0.827586207,0.482758621,1.448275862,25.06896552,0.482758621,10.51724138,3.223529412,2.635294118,7.482352941,163.9647059,2.694117647,48.50588235,0.714285714,0.428571429,1.285714286,20.0952381,0.428571429,7.047619048
koalas,6.37037037,50.71604938,40.59259259,1764.283951,58.02469136,2382.506173,1.238095238,3.761904762,5.19047619,95.61904762,4.428571429,121.7619048,6.214285714,49.13095238,39.29761905,1706.22619,56.33333333,2305.238095,1.111111111,3.333333333,5.333333333,88.44444444,3.388888889,105.5555556
kornia,7.181818182,12.46363636,14.67727273,637.05,12.68636364,595.3909091,1.3,1.671428571,1.7,110.7571429,1.671428571,114.3714286,6.965065502,12.08296943,14.20960699,620.0436681,12.29694323,580.0218341,1.245901639,1.508196721,1.540983607,96.95081967,1.508196721,101.0983607
kube-hunter,2.456140351,7.578947368,5.333333333,152.4035088,7.578947368,191.245614,1.090909091,1.363636364,1.181818182,26.81818182,1.363636364,30.72727273,2.456140351,7.578947368,5.333333333,152.4035088,7.578947368,191.245614,1.090909091,1.363636364,1.181818182,26.81818182,1.363636364,30.72727273
label-studio,3.316239316,17.23931624,8.803418803,346.6410256,17.84615385,882.8974359,0.263157895,0.571428571,0.293233083,24.36842105,0.571428571,51.84210526,3.277310924,16.96638655,8.672268908,342.2605042,17.56302521,869.5042017,0.251908397,0.564885496,0.282442748,23.42748092,0.564885496,51.32061069
labelme,3.75,0.75,23.875,468.5416667,0.916666667,20.25,1,0.047619048,3.523809524,62.61904762,0.047619048,0.095238095,3.481481481,0.666666667,21.66666667,425.2962963,0.814814815,18,0.944444444,0.055555556,3.444444444,59.83333333,0.055555556,0.111111111
Lasagne,7.688888889,0.511111111,24.66666667,991.9111111,0.511111111,36.13333333,3,0.538461538,5.923076923,202.8461538,0.538461538,32.69230769,7.739130435,0.52173913,24.54347826,990.9130435,0.52173913,37.60869565,2.416666667,0.5,4.833333333,140.9166667,0.5,26.75
LaZagne,2.540540541,0.873873874,11.14414414,560.5315315,0.873873874,12.9009009,0.786259542,0.053435115,1.259541985,104.6030534,0.061068702,7.740458015,2.11971831,0.683098592,8.992957746,451.5985915,0.683098592,10.08450704,0.84,0.07,1.25,117.95,0.08,10.14
lbry-sdk,2.728476821,0.145695364,17.58278146,394.3642384,0.152317881,4.026490066,0.625806452,0.032258065,1.529032258,33.21935484,0.032258065,1.258064516,2.45505618,0.123595506,15.29213483,340.5449438,0.129213483,3.415730337,0.5625,0.0390625,1.328125,31.8828125,0.0390625,1.5234375
lektor,5.690140845,3.267605634,13.49295775,448.2253521,3.309859155,153.3521127,2.333333333,0.777777778,3.333333333,173.3333333,0.777777778,54.11111111,5.75,3.277777778,13.47222222,453.75,3.319444444,157.875,1.375,0.375,2.25,89.25,0.375,1
libcloud,6.488888889,3.655555556,23.40740741,1024.503704,4.077777778,212.5148148,1.168224299,0.35046729,1.815420561,88.45093458,0.36682243,12.81308411,5.637982196,3.145400593,19.52522255,872.0652819,3.49851632,181.5816024,0.975069252,0.213296399,1.432132964,57.02770083,0.218836565,4.626038781
librosa,3.876923077,19.36923077,48.01538462,1573.292308,24.58461538,2126.446154,0.166666667,1.833333333,0.166666667,169,3.5,3549,3.876923077,19.36923077,48.01538462,1573.292308,24.58461538,2126.446154,0.166666667,1.833333333,0.166666667,169,3.5,3549
linkchecker,1.742647059,0.007352941,31.47794118,509.5367647,0.007352941,0.272058824,0.485915493,0,1.38028169,65.35211268,0,0,1.360215054,0.005376344,23.35483871,384.344086,0.005376344,0.198924731,0.576086957,0,1.445652174,77.05434783,0,0
livestreamer,1.93877551,2.040816327,16.53061224,459.755102,2.06122449,46.53061224,1.477876106,0.530973451,3.96460177,174.9469027,0.539823009,19.11504425,1.80952381,1.650793651,14.12698413,433.3809524,1.666666667,36.74603175,1.494949495,0.565656566,3.717171717,151.4545455,0.575757576,21.46464646
localstack,6.95215311,17.72727273,24.98564593,802.7033493,17.73684211,486.1722488,0.54,0.51,0.6,34.8,0.51,31.16,6.689497717,16.96803653,23.89954338,769.9041096,16.97716895,467.6347032,0.466666667,0.444444444,0.533333333,29.28888889,0.444444444,25.71111111
locust,8.117647059,3.205882353,39.55882353,1082.191176,3.514705882,66.76470588,1.36,0.12,2.84,82.64,0.12,6.96,7.460526316,2.894736842,35.76315789,974.5526316,3.171052632,59.93421053,1.117647059,0.058823529,2.529411765,93.47058824,0.058823529,9.352941176
loguru,1.375,3.267857143,14.73214286,509.5357143,3.357142857,108.4285714,0.26744186,0.220930233,0.674418605,15.6627907,0.220930233,6.662790698,1.338709677,3.080645161,13.67741935,470.3870968,3.161290323,100.2419355,0.2125,0.1375,0.4375,8.9625,0.1375,5.375
luigi,10.42941176,7.552941176,22.58823529,534.1882353,8.352941176,170.7705882,2.86746988,2.253012048,4.048192771,158.0843373,2.409638554,100.7951807,10.06111111,7.283333333,21.67777778,514.1111111,8.05,163.5888889,2.739726027,2.191780822,3.753424658,156.0684932,2.342465753,108.9178082
