project,p_avg_exp_authornum,p_avg_pos_authornum,p_avg_both_authornum,p_avg_exp_issuenum,p_avg_pos_issuenum,p_avg_both_issuenum,p_avg_exp_changecmt,p_avg_pos_changecmt,p_avg_both_changecmt,p_avg_exp_changeloc,p_avg_pos_changeloc,p_avg_both_changeloc,p_avg_exp_bugcmt,p_avg_pos_bugcmt,p_avg_both_bugcmt,p_avg_exp_bugloc,p_avg_pos_bugloc,p_avg_both_bugloc
mongo-python-driver,6.851351351351352,7.378947368421053,8.487179487179487,6.25,8.178947368421053,9.41025641025641,55.945945945945944,69.29473684210527,82.37179487179488,1391.337837837838,1876.3578947368421,2125.423076923077,6.324324324324325,8.294736842105262,9.538461538461538,181.31756756756758,246.03157894736842,271.5769230769231
mongoengine,9.577464788732394,10.456140350877194,20.636363636363637,10.225352112676056,10.543859649122806,24.363636363636363,33.16901408450704,35.31578947368421,73.54545454545455,788.6901408450705,901.8421052631579,1807.590909090909,11.0,11.350877192982455,26.181818181818183,413.22535211267603,430.6666666666667,975.3636363636364
monkey,3.6037296037296036,4.7,4.611111111111111,0.3706293706293706,0.5666666666666667,0.6296296296296297,13.526806526806526,21.233333333333334,19.12962962962963,212.96270396270396,348.6333333333333,311.9074074074074,0.3706293706293706,0.5666666666666667,0.6296296296296297,1.1305361305361306,1.4333333333333333,1.5833333333333333
mopidy,4.107843137254902,5.5,5.815789473684211,3.519607843137255,5.645833333333333,5.631578947368421,33.09803921568628,52.916666666666664,54.13157894736842,633.0196078431372,1004.5,1058.5526315789473,4.0,6.416666666666667,6.526315789473684,66.53921568627452,113.95833333333333,113.78947368421052
moto,9.90186125211506,15.215384615384615,18.959349593495936,11.169204737732656,18.661538461538463,23.24390243902439,21.25719120135364,35.11538461538461,46.19512195121951,927.9543147208121,1801.2076923076922,1883.2276422764228,11.52284263959391,19.31923076923077,24.073170731707318,442.2098138747885,828.2807692307692,958.3983739837398
moviepy,7.484536082474227,7.868852459016393,9.608695652173912,16.804123711340207,17.34426229508197,23.869565217391305,22.02061855670103,22.83606557377049,31.82608695652174,514.1340206185567,589.344262295082,1000.7826086956521,21.38144329896907,22.524590163934427,33.17391304347826,474.8041237113402,544.4426229508197,933.1304347826087
mps-youtube,8.0,6.928571428571429,7.7272727272727275,1.7037037037037037,1.0714285714285714,0.7272727272727273,39.851851851851855,21.285714285714285,26.90909090909091,1032.037037037037,653.7142857142857,684.3636363636364,2.0,1.2142857142857142,0.7272727272727273,25.444444444444443,8.071428571428571,3.727272727272727
multi-v2ray,1.0,1.0,1.0,0.6,0.25,0.5714285714285714,18.44,14.25,14.285714285714286,200.12,189.625,217.78571428571428,0.6,0.25,0.5714285714285714,3.48,1.875,3.357142857142857
mvt,1.8333333333333333,2.0285714285714285,1.59375,0.31666666666666665,0.3142857142857143,0.21875,7.016666666666667,7.485714285714286,6.40625,117.5,125.08571428571429,115.40625,0.31666666666666665,0.3142857142857143,0.21875,2.816666666666667,2.6,1.90625
mwlib,4.485714285714286,4.67741935483871,5.025,1.1285714285714286,0.967741935483871,1.7,38.285714285714285,38.016129032258064,52.125,772.3285714285714,787.0645161290323,1110.025,1.1571428571428573,0.9838709677419355,1.75,12.071428571428571,9.693548387096774,18.9
