project,p_avg_exp_authornum,p_avg_pos_authornum,p_avg_both_authornum,p_avg_exp_issuenum,p_avg_pos_issuenum,p_avg_both_issuenum,p_avg_exp_changecmt,p_avg_pos_changecmt,p_avg_both_changecmt,p_avg_exp_changeloc,p_avg_pos_changeloc,p_avg_both_changeloc,p_avg_exp_bugcmt,p_avg_pos_bugcmt,p_avg_both_bugcmt,p_avg_exp_bugloc,p_avg_pos_bugloc,p_avg_both_bugloc
gitsome,1.1363636363636365,1.1782178217821782,1.2105263157894737,0.17424242424242425,0.22772277227722773,0.22807017543859648,5.1893939393939394,6.316831683168317,7.192982456140351,474.06060606060606,574.0891089108911,738.1052631578947,0.20454545454545456,0.26732673267326734,0.2631578947368421,2.3106060606060606,3.01980198019802,2.5964912280701755
gixy,1.2857142857142858,1.375,1.4444444444444444,0.7857142857142857,1.0,1.2222222222222223,4.142857142857143,4.875,4.888888888888889,168.35714285714286,228.75,240.33333333333334,0.7857142857142857,1.0,1.2222222222222223,6.357142857142857,8.75,9.88888888888889
glance,2.869565217391304,3.0303030303030303,3.1666666666666665,7.36231884057971,8.333333333333334,9.416666666666666,41.94202898550725,40.45454545454545,38.0,808.2608695652174,928.4545454545455,837.0,8.27536231884058,9.454545454545455,10.666666666666666,140.59420289855072,186.87878787878788,156.66666666666666
glances,2.923076923076923,3.1206896551724137,3.4285714285714284,7.4945054945054945,8.224137931034482,9.928571428571429,36.362637362637365,38.06896551724138,40.142857142857146,701.8791208791209,790.5172413793103,799.5714285714286,8.241758241758241,9.137931034482758,11.071428571428571,144.14285714285714,178.18965517241378,165.78571428571428
gluon-cv,3.0150375939849625,2.7291666666666665,2.973684210526316,13.19548872180451,11.895833333333334,15.078947368421053,7.135338345864661,6.09375,7.973684210526316,346.78195488721803,405.9895833333333,527.2105263157895,13.278195488721805,11.927083333333334,15.105263157894736,1198.9473684210527,1518.2083333333333,2247.9210526315787
gmvault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gooey,2.9649122807017543,3.7142857142857144,3.875,1.719298245614035,2.142857142857143,2.875,6.9298245614035086,7.571428571428571,7.625,164.35087719298247,205.07142857142858,191.875,1.7894736842105263,2.357142857142857,3.25,38.56140350877193,38.357142857142854,35.75
google-api-python-client,14.166666666666666,17.5,17.642857142857142,18.333333333333332,24.916666666666668,22.642857142857142,28.27777777777778,35.25,35.92857142857143,1270.0555555555557,1686.0,1611.7857142857142,18.77777777777778,25.583333333333332,23.214285714285715,1132.7777777777778,1539.5,1417.2142857142858
gpodder,6.28125,6.37037037037037,6.315789473684211,2.96875,2.7962962962962963,3.6842105263157894,54.75,46.81481481481482,61.05263157894737,1142.9375,954.7222222222222,1305.578947368421,3.4375,3.2222222222222223,4.315789473684211,51.09375,66.62962962962963,62.05263157894737
gradio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
