project,p_avg_exp_authornum,p_avg_pos_authornum,p_avg_both_authornum,p_avg_exp_issuenum,p_avg_pos_issuenum,p_avg_both_issuenum,p_avg_exp_changecmt,p_avg_pos_changecmt,p_avg_both_changecmt,p_avg_exp_changeloc,p_avg_pos_changeloc,p_avg_both_changeloc,p_avg_exp_bugcmt,p_avg_pos_bugcmt,p_avg_both_bugcmt,p_avg_exp_bugloc,p_avg_pos_bugloc,p_avg_both_bugloc
12306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agriculture_KnowledgeGraph,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gmvault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gooey,2.4285714285714284,4.0,NA,0.8571428571428571,2.5,NA,3.5714285714285716,8.0,NA,85.57142857142857,170.5,NA,0.8571428571428571,2.5,NA,11.285714285714286,37.5,NA
google-api-python-client,27.333333333333332,27.333333333333332,40.5,39.0,39.0,57.0,64.0,64.0,95.0,3656.3333333333335,3656.3333333333335,5190.5,41.333333333333336,41.333333333333336,59.0,4187.0,4187.0,4938.5
gpodder,9.0,9.0,11.0,7.2,7.2,10.333333333333334,97.4,97.4,125.33333333333333,2245.6,2245.6,3105.6666666666665,8.8,8.8,12.333333333333334,151.0,151.0,241.66666666666666
gradio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
graphene,6.714285714285714,6.666666666666667,6.6923076923076925,9.523809523809524,9.333333333333334,10.846153846153847,26.61904761904762,26.866666666666667,27.53846153846154,531.2380952380952,585.7333333333333,581.1538461538462,9.571428571428571,9.4,10.923076923076923,307.14285714285717,391.4,406.38461538461536
graphene-django,10.461538461538462,12.777777777777779,16.0,11.0,13.333333333333334,15.5,21.615384615384617,25.555555555555557,34.25,482.7692307692308,610.7777777777778,858.75,11.153846153846153,13.555555555555555,15.5,287.38461538461536,372.55555555555554,460.5
great_expectations,6.058252427184466,7.198473282442748,8.417721518987342,26.228155339805824,32.10687022900763,36.822784810126585,23.203883495145632,30.68702290076336,41.29113924050633,1093.3252427184466,1456.854961832061,1820.493670886076,27.849514563106798,34.267175572519086,39.40506329113924,2004.1650485436894,2591.664122137405,3064.5822784810125
guake,4.333333333333333,4.0,6.0,0.6666666666666666,0.5,1.0,10.666666666666666,11.0,16.0,115.33333333333333,153.5,235.0,0.6666666666666666,0.5,1.0,3.3333333333333335,2.0,4.0
gunicorn,19.857142857142858,21.0,27.0,20.714285714285715,21.833333333333332,25.0,75.14285714285714,80.33333333333333,115.66666666666667,1063.4285714285713,1092.5,1789.6666666666667,21.285714285714285,22.5,26.0,265.85714285714283,248.83333333333334,349.6666666666667
