project,6_e_Total_InstanceCount,6_p_Total_InstanceCount,6_e_Total_DistinctFileCount,6_p_Total_DistinctFileCount,6_e_UnstableInterface_InstanceCount,6_p_UnstableInterface_InstanceCount,6_e_UnstableInterface_DistinctFileCount,6_p_UnstableInterface_DistinctFileCount,6_e_UnhealthyInheritance_InstanceCount,6_p_UnhealthyInheritance_InstanceCount,6_e_UnhealthyInheritance_DistinctFileCount,6_p_UnhealthyInheritance_DistinctFileCount,6_e_Clique_InstanceCount,6_p_Clique_InstanceCount,6_e_Clique_DistinctFileCount,6_p_Clique_DistinctFileCount,6_e_Crossing_InstanceCount,6_p_Crossing_InstanceCount,6_e_Crossing_DistinctFileCount,6_p_Crossing_DistinctFileCount,6_e_PackageCycle_InstanceCount,6_p_PackageCycle_InstanceCount,6_e_PackageCycle_DistinctFileCount,6_p_PackageCycle_DistinctFileCount,6_e_ModularityViolation_InstanceCount,6_p_ModularityViolation_InstanceCount,6_e_ModularityViolation_DistinctFileCount,6_p_ModularityViolation_DistinctFileCount
tensor2tensor,109,139,449,450,27,31,441,441,10,13,92,107,0,2,0,39,32,43,307,327,10,20,252,286,30,30,339,339
tensorboardX,4,5,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,4,4,11,10
TensorFlowOnSpark,3,4,9,9,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,3,9,9
tensorlayer,26,30,200,201,8,8,200,200,1,2,9,14,1,1,3,4,0,1,0,51,3,6,24,44,13,12,145,145
tensorpack,73,114,213,218,18,25,199,201,12,13,40,45,3,3,13,54,13,32,120,163,9,20,52,103,18,21,164,164
tensortrade,11,24,84,94,1,2,52,64,3,4,19,35,0,2,0,13,3,8,35,44,2,6,11,21,2,2,4,4
textual,28,37,61,63,5,6,56,57,4,7,18,24,1,1,2,24,7,9,48,50,5,8,30,43,6,6,32,31
text_classification,0,1,0,4,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tflearn,15,16,63,65,3,3,60,60,0,0,0,0,0,1,0,2,3,3,28,32,5,5,29,31,4,4,11,11
Theano,171,210,331,346,35,39,312,312,25,28,150,172,1,1,87,119,53,61,264,273,23,46,119,227,34,35,201,201
thefuck,32,34,191,192,5,7,184,187,1,1,7,12,2,1,10,15,1,2,42,106,3,3,20,20,20,20,62,61
theHarvester,9,9,45,45,3,3,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,28,28
thumbor,32,50,162,163,7,10,160,162,3,6,8,15,1,2,2,7,1,6,17,53,5,11,23,45,15,15,76,73
tianshou,40,57,122,124,11,14,121,121,5,9,22,39,0,1,0,2,9,13,75,92,8,12,40,60,7,8,67,67
tinygrad,5,9,30,33,1,1,24,24,1,1,2,2,0,2,0,7,0,0,0,0,2,4,14,28,1,1,6,6
toolz,5,5,10,9,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,4,4,9,8
tornado,39,45,91,91,13,15,91,91,4,6,27,29,3,1,11,25,12,16,66,77,1,1,9,10,6,6,72,72
tpot,6,10,20,30,0,0,0,0,0,1,0,3,0,1,0,4,0,1,0,21,0,1,0,3,6,6,20,20
tqdm,10,11,49,49,2,2,47,47,1,1,7,9,0,1,0,5,0,0,0,0,0,1,0,14,7,6,24,22
tribler,87,125,280,309,14,18,186,192,5,10,51,101,1,4,7,113,5,16,73,123,47,64,161,195,15,13,81,77
troposphere,16,16,262,263,4,4,262,262,1,1,2,10,1,1,8,9,1,1,13,14,0,0,0,0,9,9,48,48
tushare,5,7,27,29,1,1,22,22,0,0,0,0,0,1,0,2,0,0,0,0,1,2,14,17,3,3,9,9
tvm,213,299,1065,1187,36,50,985,1043,20,27,98,137,7,4,19,190,39,61,368,560,26,74,165,413,85,83,494,486
Ultra-Light-Fast-Generic-Face-Detector-1MB,1,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,7,0,0,0,0
umap,5,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,16,16
universe,4,8,18,35,0,0,0,0,0,0,0,0,0,1,0,18,0,0,0,0,3,7,16,27,1,0,2,0
urh,93,149,308,319,21,34,278,284,9,18,55,99,2,2,6,162,23,42,165,219,14,30,132,183,24,23,130,125
urllib3,23,38,66,67,8,10,66,66,1,5,9,14,0,1,0,18,8,11,47,49,1,6,17,45,5,5,56,56
virtualenv,27,40,104,107,3,5,97,97,5,7,17,24,2,2,8,9,1,6,22,58,11,14,25,34,5,6,38,35
