project,6_e_Total_InstanceCount,6_p_Total_InstanceCount,6_e_Total_DistinctFileCount,6_p_Total_DistinctFileCount,6_e_UnstableInterface_InstanceCount,6_p_UnstableInterface_InstanceCount,6_e_UnstableInterface_DistinctFileCount,6_p_UnstableInterface_DistinctFileCount,6_e_UnhealthyInheritance_InstanceCount,6_p_UnhealthyInheritance_InstanceCount,6_e_UnhealthyInheritance_DistinctFileCount,6_p_UnhealthyInheritance_DistinctFileCount,6_e_Clique_InstanceCount,6_p_Clique_InstanceCount,6_e_Clique_DistinctFileCount,6_p_Clique_DistinctFileCount,6_e_Crossing_InstanceCount,6_p_Crossing_InstanceCount,6_e_Crossing_DistinctFileCount,6_p_Crossing_DistinctFileCount,6_e_PackageCycle_InstanceCount,6_p_PackageCycle_InstanceCount,6_e_PackageCycle_DistinctFileCount,6_p_PackageCycle_DistinctFileCount,6_e_ModularityViolation_InstanceCount,6_p_ModularityViolation_InstanceCount,6_e_ModularityViolation_DistinctFileCount,6_p_ModularityViolation_DistinctFileCount
12306,7,14,27,38,1,2,20,30,0,0,0,0,0,1,0,14,0,2,0,28,2,5,8,24,4,4,17,17
Agriculture_KnowledgeGraph,4,4,14,12,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,2,8,8,2,1,6,4
aiohttp,44,63,125,125,10,17,124,125,4,5,21,32,1,3,7,31,16,23,79,98,0,1,0,91,13,14,111,111
airflow,98,153,636,704,19,27,576,605,9,17,124,190,1,3,46,82,12,18,127,200,22,50,174,313,35,38,209,207
akshare,7,7,76,76,1,1,68,68,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,5,5,21,21
albumentations,10,14,32,39,0,1,0,38,1,1,3,4,1,2,2,6,1,2,11,23,4,4,16,16,3,4,21,21
algo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
algorithms,5,5,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,10
allennlp,105,116,399,403,21,23,340,340,18,23,74,88,4,2,13,31,19,22,174,186,22,25,121,129,21,21,194,194
allura,129,185,431,456,27,41,414,438,13,16,64,98,3,4,61,85,29,50,236,291,18,37,107,130,39,37,219,215
AlphaPose,6,10,17,24,0,0,0,0,2,2,6,6,1,2,2,4,0,0,0,0,2,5,9,19,1,1,2,2
altair,17,18,78,79,2,2,60,60,2,3,15,27,0,0,0,0,2,2,31,33,1,1,7,7,10,10,32,32
androguard,20,42,72,73,4,7,72,72,2,3,8,18,0,1,0,40,4,14,24,60,4,11,12,33,6,6,47,46
angr,185,305,651,730,20,42,527,611,20,37,65,125,11,2,29,212,27,62,260,478,55,115,276,397,52,47,250,232
anki,62,107,205,206,18,32,158,158,2,8,6,29,2,1,81,111,22,40,127,140,7,14,111,165,11,12,99,96
ansible,240,354,1657,2410,14,26,765,1624,18,30,240,314,4,13,29,152,17,28,302,403,23,95,227,1110,164,162,1195,1189
apex,10,16,33,62,0,0,0,0,2,4,6,27,1,3,2,7,0,1,0,8,3,5,19,27,4,3,9,9
apistar,5,6,15,17,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,2,13,15,3,3,7,7
apprise,20,29,119,123,4,5,93,93,2,3,10,22,0,1,0,2,3,5,20,54,4,8,93,95,7,7,72,72
apscheduler,16,17,43,43,4,4,38,38,4,4,22,22,1,2,6,8,0,0,0,0,3,3,19,19,4,4,14,14
ArchiveBox,31,31,84,84,7,7,73,73,0,0,0,0,1,1,41,42,5,5,49,50,12,12,67,67,6,6,34,33
asm-dude,5,6,11,11,0,0,0,0,0,0,0,0,4,5,8,10,0,0,0,0,0,0,0,0,1,1,3,2
astroquery,32,41,161,170,6,7,140,144,0,1,0,4,0,1,0,2,1,2,8,42,3,8,14,25,22,22,96,95
asyncpg,7,12,25,40,0,1,0,39,0,1,0,3,0,1,0,6,0,1,0,28,0,0,0,0,7,8,25,21
attrs,7,8,30,31,2,2,29,29,0,0,0,0,0,1,0,3,1,1,16,16,0,0,0,0,4,4,14,13
dagster,404,503,1220,1249,48,60,1071,1088,32,41,181,230,10,10,218,299,121,147,734,790,88,138,351,402,105,107,657,649
DAIN,3,3,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,15,0,0,0,0
darkflow,2,8,5,26,0,0,0,0,1,1,3,3,0,1,0,21,0,0,0,0,1,6,3,20,0,0,0,0
dash,12,19,37,105,0,3,0,68,2,4,7,49,1,1,2,12,0,1,0,39,2,4,20,27,7,6,24,21
dask,102,122,207,220,30,32,203,203,7,7,75,123,1,1,64,80,40,49,179,183,13,21,81,141,11,12,156,156
datasets,49,60,468,484,6,8,450,454,4,6,20,35,2,1,12,38,8,9,58,71,3,11,42,88,26,25,113,112
datasette,15,21,60,64,3,4,58,63,2,2,9,14,0,1,0,14,2,4,29,47,1,2,10,23,7,8,38,38
deap,3,5,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,8,2,3,8,7
DeDRM_tools,4,7,12,48,0,1,0,47,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,4,4,4,12,12
deep-learning-for-image-processing,7,9,17,31,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,0,0,2,0,18,6,6,15,15
DeepCTR,13,13,91,91,7,7,91,91,0,0,0,0,1,1,2,2,2,2,23,23,0,0,0,0,3,3,66,66
DeepFaceLab,15,18,61,63,5,6,58,61,0,0,0,0,1,1,2,2,2,3,20,29,2,3,6,9,5,5,29,29
DeepPavlov,31,44,176,188,4,4,145,145,5,7,14,17,1,3,2,10,4,4,29,29,6,14,33,58,11,12,80,80
DeepSpeed,30,44,92,106,2,2,63,63,4,5,16,24,0,4,0,31,4,7,28,51,15,20,49,57,5,6,20,17
deis,5,9,44,49,1,1,44,44,0,0,0,0,0,1,0,2,1,2,10,21,0,2,0,7,3,3,23,23
deluge,65,107,252,261,21,25,238,238,6,11,69,115,5,4,12,92,10,30,130,158,6,20,39,155,17,17,178,178
deoplete.nvim,7,11,33,33,2,2,32,32,0,1,0,2,0,1,0,2,0,0,0,0,0,2,0,11,5,5,25,25
Detectron,11,14,66,71,2,2,33,33,0,0,0,0,0,1,0,7,0,1,0,10,7,8,51,57,2,2,4,4
detectron2,88,102,266,277,16,18,205,206,14,16,80,83,0,1,0,46,21,24,129,138,15,21,88,109,22,22,64,62
diagrams,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4
dirsearch,19,39,167,181,3,4,121,121,6,10,21,26,2,3,16,61,3,7,34,55,2,12,22,50,3,3,19,19
discord.py,56,69,93,102,12,16,80,80,6,8,25,29,3,1,38,59,27,31,78,80,2,7,26,70,6,6,63,63
django-allauth,45,48,284,285,13,14,282,282,1,1,7,9,2,2,9,12,11,13,199,203,3,4,22,23,15,14,86,86
django-cms,94,120,276,285,23,29,272,277,4,6,25,37,2,1,46,64,22,34,173,190,18,27,89,114,25,23,155,152
django-crispy-forms,8,8,25,25,1,1,23,23,1,1,7,7,1,1,6,6,1,1,12,13,1,1,6,6,3,3,18,18
django-extensions,15,18,152,156,2,2,146,146,3,3,10,11,0,0,0,0,1,1,17,17,0,3,0,26,9,9,80,80
django-haystack,31,40,124,124,11,14,122,124,3,5,16,25,0,1,0,13,8,10,63,79,2,3,24,29,7,7,93,93
django-oscar,29,74,273,357,5,14,268,329,3,14,10,67,1,2,2,17,1,12,24,144,1,17,4,71,18,15,90,80
django-rest-framework,31,51,111,118,11,12,107,107,1,9,11,27,0,2,0,41,7,11,78,90,4,9,43,108,8,8,60,59
django-tastypie,17,22,103,107,2,2,102,102,1,1,3,7,0,1,0,5,4,5,43,47,3,6,21,51,7,7,35,33
DjangoBlog,17,19,62,62,3,3,61,61,0,0,0,0,1,1,3,3,0,1,0,12,9,11,35,38,4,3,25,24
doccano,4,5,28,33,1,1,21,21,0,0,0,0,0,1,0,4,0,0,0,0,2,2,10,17,1,1,2,2
docker-py,31,48,109,112,8,9,104,106,0,12,0,26,0,3,0,15,6,8,77,83,5,5,40,40,12,11,55,54
docker-stacks,1,2,3,19,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3
docutils,42,65,184,197,6,9,176,177,3,7,8,20,1,1,2,38,3,8,103,121,4,15,27,70,25,25,116,115
dotbot,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0
dowhy,15,16,60,67,1,2,40,48,1,1,3,3,1,1,7,7,0,1,0,11,5,5,36,41,7,6,26,24
dvc,146,175,378,393,28,37,344,352,15,18,134,180,2,1,127,166,33,42,261,295,32,42,197,230,36,35,235,233
dymos,11,18,106,146,1,2,96,139,0,2,0,8,0,1,0,4,0,1,0,51,5,7,22,24,5,5,45,43
easytrader,5,7,21,23,1,1,19,19,0,1,0,3,0,1,0,3,0,1,0,9,0,0,0,0,4,3,19,18
edgedb,166,226,336,355,44,53,329,330,21,29,92,110,6,4,85,136,56,66,252,270,17,52,113,263,22,22,195,193
Eel,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3
eht-imaging,23,31,55,59,3,4,49,51,0,0,0,0,1,1,9,15,4,10,33,43,8,8,42,43,7,8,31,30
elastalert,5,8,23,27,1,1,22,22,1,1,3,4,0,1,0,6,0,1,0,14,0,1,0,24,3,3,15,14
elasticsearch-dsl-py,14,23,31,50,1,3,28,29,4,5,17,25,1,1,4,18,3,8,23,29,1,2,8,37,4,4,11,11
elasticsearch-py,14,14,112,112,3,3,106,106,0,0,0,0,0,0,0,0,1,1,44,44,3,3,50,50,7,7,51,51
electrum,101,142,216,231,27,32,194,198,14,23,92,120,2,2,77,151,32,43,177,182,7,21,101,173,19,21,99,93
emissary,48,72,140,153,10,12,123,123,7,9,78,86,1,2,7,74,14,18,120,123,9,24,58,80,7,7,62,60
espnet,148,170,552,579,19,26,434,507,27,28,121,135,2,2,5,27,20,24,216,234,16,26,109,141,64,64,282,282
esptool,6,14,27,40,1,2,16,32,1,3,13,23,0,1,0,2,0,1,0,11,0,3,0,14,4,4,15,15
EverydayWechat,11,11,30,30,1,1,26,26,0,0,0,0,0,0,0,0,1,1,10,10,5,5,10,10,4,4,11,11
explainshell,2,4,8,13,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,8,1,1,4,6,1,1,4,3
fabric,5,8,19,27,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,12,0,1,0,6,5,5,19,19
facenet,4,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,8
faceswap,27,69,142,162,8,13,142,147,0,5,0,22,1,2,5,62,1,12,16,80,3,23,17,78,14,14,64,59
fail2ban,30,40,72,73,6,9,70,72,6,8,23,35,2,1,13,56,6,9,48,54,1,4,27,62,9,9,58,56
fairseq,91,147,405,461,17,27,357,371,13,21,45,76,3,4,22,107,11,22,136,195,20,48,136,214,27,25,131,129
faker,38,42,390,394,10,13,389,389,0,1,0,19,0,0,0,0,0,2,0,48,1,3,6,11,27,23,104,101
falcon,31,46,171,176,10,14,170,173,1,4,4,14,0,1,0,4,7,11,79,122,2,5,28,65,11,11,83,82
fastapi,21,23,85,156,0,1,0,134,2,2,8,8,0,0,0,0,1,1,13,92,3,4,19,24,15,15,68,68
FATE,98,140,354,589,8,9,155,184,18,31,66,321,0,8,0,51,9,12,66,85,40,58,199,254,23,22,89,87
faust,98,136,205,221,17,20,184,193,9,23,44,82,3,3,13,61,27,36,135,158,21,34,87,101,21,20,103,102
featuretools,37,40,114,117,9,10,107,110,1,1,6,7,3,2,7,15,9,12,53,69,7,7,23,23,8,8,62,61
flair,17,29,56,62,1,2,37,41,4,6,29,34,1,2,3,18,2,3,18,25,3,9,27,37,6,7,23,23
Flashlight,18,27,72,100,1,1,18,18,7,8,39,44,4,6,20,43,1,1,8,8,2,8,20,48,3,3,7,7
flask,16,28,52,56,2,4,52,54,0,2,0,13,1,1,5,11,3,9,21,42,1,2,8,40,9,10,40,40
flask-admin,18,30,59,73,2,4,43,67,5,10,20,32,1,2,3,7,2,3,25,33,1,5,10,21,7,6,28,26
Flask-AppBuilder,42,65,101,128,2,9,71,103,5,11,20,45,2,3,4,37,7,8,59,64,11,18,50,68,15,16,62,61
flask-sqlalchemy,1,3,17,17,1,1,17,17,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,3,0,0,0,0
flocker,62,83,193,224,8,12,145,177,3,5,10,16,1,1,8,62,10,15,107,129,7,18,50,98,33,32,106,104
flower,9,14,21,29,0,2,0,28,1,1,3,3,0,1,0,2,0,1,0,15,3,4,16,22,5,5,17,16
fluo-muchos,3,3,7,7,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4
folium,12,15,57,62,2,3,57,57,1,2,6,8,1,1,2,6,2,2,14,24,0,1,0,32,6,6,39,39
formspree,9,10,25,26,1,2,18,22,0,0,0,0,1,1,12,12,2,2,15,15,3,3,15,15,2,2,13,13
freqtrade,71,79,159,172,11,13,138,146,5,6,20,40,2,1,7,48,15,16,116,120,17,23,71,86,21,20,91,88
full-stack-fastapi-postgresql,5,6,34,38,1,2,32,38,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,7,2,2,6,6
gajim,52,124,187,197,10,28,158,172,8,15,25,51,3,3,9,133,8,40,98,141,7,23,146,174,16,15,98,95
gallery-dl,22,34,181,186,3,4,107,108,4,5,13,27,0,1,0,25,1,5,14,103,3,7,160,181,11,12,80,78
Games,1,1,2,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,2,0
GamestonkTerminal,18,27,85,102,2,2,51,51,0,0,0,0,1,4,2,10,1,2,12,16,13,18,39,58,1,1,2,2
gensim,85,122,369,478,6,7,153,154,32,42,145,187,9,2,90,203,5,7,44,57,16,49,128,265,17,15,97,96
gensim-old,37,48,109,111,7,8,107,108,3,7,38,42,2,2,5,32,8,10,51,58,4,8,20,54,13,13,70,70
geopy,16,16,80,80,5,5,79,79,4,4,12,14,0,0,0,0,1,1,35,36,0,0,0,0,6,6,61,61
ggpy,7,11,43,74,1,2,20,53,0,0,0,0,0,1,0,3,1,1,14,30,2,5,33,64,3,2,20,19
gitsome,21,36,114,149,3,4,50,50,2,2,7,8,3,1,28,98,2,9,14,42,11,20,97,135,0,0,0,0
gixy,4,5,16,17,0,0,0,0,1,1,4,5,1,1,3,3,0,0,0,0,2,3,12,14,0,0,0,0
glance,21,36,98,98,7,10,97,97,1,2,3,9,0,1,0,3,4,10,61,88,1,4,16,69,8,9,77,76
glances,19,38,102,106,6,9,97,97,0,3,0,9,0,2,0,7,3,9,54,86,2,7,23,91,8,8,77,77
gluon-cv,56,84,230,306,4,5,180,199,5,6,31,48,1,2,3,102,8,9,117,123,17,42,49,133,21,20,71,69
gmvault,9,13,33,33,1,2,32,32,0,0,0,0,0,1,0,2,3,4,20,23,0,0,0,0,5,6,18,17
Gooey,10,14,56,65,0,0,0,0,1,2,3,7,1,2,2,4,0,0,0,0,4,6,50,58,4,4,8,8
google-api-python-client,14,19,71,73,3,4,71,71,0,1,0,3,2,3,5,9,2,3,32,35,0,1,0,21,7,7,27,27
gpodder,7,28,78,92,0,5,0,87,0,2,0,5,0,2,0,29,0,7,0,58,2,6,17,56,5,6,76,76
gradio,6,9,51,59,0,1,0,58,0,0,0,0,0,1,0,2,0,1,0,46,0,0,0,0,6,6,51,51
graphene,37,52,106,109,11,12,103,103,4,8,11,22,4,7,13,19,9,12,55,60,0,2,0,62,9,11,50,50
graphene-django,17,27,70,79,2,2,65,65,2,4,9,13,1,3,4,10,1,1,24,27,1,8,3,35,10,9,29,27
great_expectations,159,193,582,597,35,40,542,542,24,30,156,206,3,3,74,116,39,46,360,396,23,41,125,200,35,33,265,262
guake,4,13,20,29,0,2,0,28,0,1,0,3,0,1,0,12,0,5,0,23,0,0,0,0,4,4,20,18
gunicorn,10,25,37,54,0,2,0,47,1,3,2,7,0,2,0,9,0,4,0,31,1,6,7,30,8,8,33,32
gym,18,31,100,112,4,4,96,96,2,3,13,25,0,2,0,5,1,2,11,20,2,11,12,64,9,9,51,51
h4cker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
haipproxy,1,1,3,3,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HanLP,22,41,146,172,1,1,77,77,12,15,73,86,0,4,0,15,1,1,19,19,6,18,27,76,2,2,9,9
haxor-news,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
healthchecks,18,21,227,228,4,5,225,225,0,0,0,0,1,1,3,6,1,1,78,84,2,4,11,21,10,10,87,87
home-assistant,244,345,1120,1424,26,31,884,927,25,30,210,311,6,13,25,222,38,47,667,742,33,108,249,768,116,116,508,502
horizon,100,138,461,513,12,19,428,457,8,16,68,130,2,6,10,53,17,23,240,279,12,26,61,120,49,48,271,267
horovod,26,54,96,154,1,3,50,52,4,12,17,60,3,7,8,41,2,6,17,47,5,16,30,83,11,10,34,32
httpie,17,28,56,65,3,6,40,54,1,3,4,24,1,1,2,21,1,3,13,28,4,8,28,57,7,7,37,36
httpx,15,18,47,49,2,4,47,47,2,2,9,9,1,1,4,12,1,2,17,34,1,2,11,21,8,7,33,30
huey,6,12,21,36,0,1,0,28,0,2,0,5,0,1,0,4,1,2,14,22,0,1,0,6,5,5,15,13
hug,12,17,48,89,0,2,0,88,1,1,3,3,0,1,0,2,1,2,13,31,0,0,0,0,10,11,45,45
hy,13,14,29,29,3,3,26,26,1,1,6,6,1,2,3,5,4,4,20,20,1,1,10,10,3,3,26,26
hydra,53,58,191,193,6,6,146,146,10,11,69,73,5,5,27,28,6,7,57,61,9,12,40,59,17,17,77,77
hyperopt,15,19,52,52,3,3,52,52,1,3,3,11,1,2,2,11,2,4,25,29,0,1,0,14,8,6,30,28
hypothesis,70,88,363,374,24,26,354,357,4,7,38,57,1,1,49,59,21,26,269,274,8,16,73,225,12,12,327,327
igbot,17,24,89,99,1,4,71,94,0,0,0,0,0,1,0,3,0,2,0,85,1,2,3,12,15,15,75,75
ignite,63,70,193,197,14,15,180,180,7,8,50,59,1,3,6,10,11,11,122,122,5,8,23,48,25,25,139,139
imagededup,6,6,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,18,18
imbalanced-learn,27,35,104,104,7,8,99,99,3,3,15,15,0,0,0,0,2,7,12,44,6,8,28,31,9,9,61,61
imgaug,36,50,102,116,7,13,92,93,4,4,27,56,1,1,20,25,12,17,73,85,3,4,35,37,9,11,59,59
impacket,78,98,247,259,22,25,232,244,10,11,101,139,1,2,12,32,21,27,108,168,7,16,72,178,17,17,162,162
imutils,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2
infrastructure-puppet,0,3,0,8,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,8,0,0,0,0
insightface,9,18,57,70,0,0,0,0,0,3,0,9,1,3,3,12,0,0,0,0,6,10,49,56,2,2,6,6
InstaPy,6,9,29,32,1,1,29,29,0,0,0,0,0,1,0,16,1,2,23,25,0,1,0,17,4,4,19,19
inter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
invoke,16,27,67,80,4,7,66,66,0,2,0,8,0,1,0,14,3,5,27,37,2,5,11,42,7,7,34,33
ipython,56,84,236,255,10,14,210,215,1,5,3,18,3,1,23,76,13,19,118,137,9,24,105,157,20,21,109,105
isort,12,14,48,67,1,1,44,44,0,0,0,0,0,1,0,2,3,3,34,34,1,2,5,51,7,7,26,26
jax,78,91,219,224,16,18,198,199,4,5,23,27,4,1,12,38,17,19,99,108,12,23,78,104,25,25,142,142
jieba,7,7,29,29,0,0,0,0,1,1,3,3,0,0,0,0,1,1,16,16,1,1,3,3,4,4,21,21
jsonschema,7,9,21,23,2,2,21,21,0,0,0,0,0,1,0,8,1,1,16,17,0,1,0,15,4,4,16,15
jumpgate,5,8,17,46,0,2,0,42,0,1,0,3,0,0,0,0,0,1,0,10,0,0,0,0,5,4,17,16
jumpserver,100,127,416,439,11,13,365,375,6,10,31,51,5,3,38,85,16,21,150,193,31,50,127,174,31,30,145,142
kafka-python,28,42,92,100,2,4,64,80,4,7,17,30,1,3,2,19,4,7,42,54,8,14,48,68,9,7,36,33
KaraKara,13,17,57,59,1,1,29,29,1,2,28,35,0,1,0,2,0,0,0,0,2,3,8,12,9,10,33,33
keras,54,60,143,158,11,12,138,140,5,5,34,85,2,1,7,31,9,10,87,92,8,13,45,91,19,19,95,95
keras-retinanet,15,20,38,45,2,3,28,40,0,1,0,10,1,1,2,2,3,3,24,27,0,3,0,19,9,9,29,29
keras-rl,3,8,8,31,0,2,0,26,0,1,0,10,0,0,0,0,0,2,0,16,1,1,3,3,2,2,5,5
kibble,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3
kinto,36,72,161,162,11,19,160,161,3,8,22,42,0,1,0,27,5,15,65,135,6,18,33,90,11,11,130,130
kitty,71,82,161,170,12,15,123,131,5,6,30,40,1,1,53,83,14,18,97,112,25,30,120,148,14,12,56,52
kivy,97,145,310,368,24,26,291,292,13,23,46,85,2,4,30,73,20,29,197,225,14,40,107,264,24,23,153,150
knowledge-repo,20,26,77,85,3,6,68,76,1,2,2,7,2,1,18,24,2,4,40,55,6,7,43,50,6,6,23,21
koalas,35,45,81,84,7,10,74,74,3,4,16,30,1,1,22,24,10,13,49,62,7,8,38,41,7,9,48,48
kornia,40,53,220,229,7,9,217,218,3,4,10,17,0,2,0,12,6,9,37,58,6,11,36,50,18,18,177,177
kube-hunter,13,20,57,57,3,3,51,51,1,2,9,15,2,4,4,9,1,3,10,16,2,4,7,22,4,4,19,18
label-studio,53,64,117,119,7,7,91,91,0,1,0,3,1,1,15,25,9,12,65,76,31,38,81,89,5,5,30,29
labelme,6,8,24,27,0,0,0,0,0,0,0,0,0,1,0,6,0,1,0,19,3,4,16,18,3,2,10,8
Lasagne,9,10,45,46,2,2,38,38,2,2,15,18,0,1,0,3,1,1,10,10,1,1,21,21,3,3,13,13
LaZagne,19,24,111,142,2,4,95,118,2,2,6,6,1,1,12,12,0,1,0,11,4,7,27,50,10,9,65,63
lbry-sdk,71,98,151,178,10,16,107,130,5,10,15,35,2,1,5,89,16,19,100,111,26,39,88,127,12,13,43,40
lektor,19,31,71,72,4,6,68,69,2,3,6,14,0,1,0,30,2,12,28,58,5,5,31,40,6,4,27,25
libcloud,65,78,270,337,13,13,185,185,16,17,165,225,0,2,0,13,5,7,94,104,7,15,54,187,24,24,93,93
librosa,15,15,65,65,4,4,63,63,0,0,0,0,0,0,0,0,1,1,13,13,3,3,24,24,7,7,47,47
linkchecker,37,57,136,186,8,11,125,127,5,7,17,54,2,2,19,73,7,13,57,87,5,14,42,104,10,10,91,90
livestreamer,11,16,49,63,0,0,0,0,2,4,20,32,0,1,0,2,0,0,0,0,2,4,19,27,7,7,19,18
localstack,101,108,209,219,14,15,179,179,6,6,45,46,3,1,32,55,16,19,111,137,43,49,121,164,19,18,82,82
locust,19,33,68,76,4,8,62,67,1,2,3,8,0,1,0,17,4,8,41,45,4,8,17,53,6,6,37,35
loguru,7,11,56,62,2,3,51,62,0,0,0,0,0,1,0,4,0,1,0,27,0,0,0,0,5,6,28,27
luigi,31,40,170,180,9,10,147,155,6,9,26,37,0,3,0,19,2,3,32,48,4,5,46,67,10,10,78,77
lutris,51,79,159,173,8,11,135,146,5,9,17,34,2,2,6,69,8,18,101,125,17,25,104,119,11,14,82,82
magenta,29,58,312,312,9,15,304,304,7,8,40,56,0,5,0,11,3,12,28,113,1,9,6,39,9,9,258,258
magic-wormhole,14,29,66,81,3,3,58,58,0,1,0,5,0,2,0,31,3,12,25,54,2,6,24,60,6,5,22,20
mailinabox,5,5,9,9,0,0,0,0,0,0,0,0,1,1,6,6,2,2,7,7,0,0,0,0,2,2,4,4
Mailpile,73,103,108,117,11,17,97,104,9,13,30,56,3,1,37,77,19,30,85,97,16,28,97,105,15,14,56,51
maltrail,6,7,88,88,2,2,88,88,0,0,0,0,0,0,0,0,2,2,72,72,0,1,0,6,2,2,72,72
manim,53,64,88,94,14,14,79,79,5,7,33,46,3,2,9,33,11,16,65,70,12,17,70,84,8,8,25,22
maskrcnn-benchmark,3,8,13,39,0,0,0,0,0,0,0,0,0,2,0,31,0,0,0,0,1,4,8,15,2,2,5,5
material-theme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matplotlib,126,172,421,513,25,36,350,364,16,21,75,243,4,3,55,102,36,53,224,284,6,21,77,159,39,38,312,310
meshroom,13,22,49,51,1,3,21,36,0,0,0,0,1,2,3,12,1,4,13,32,1,4,6,17,9,9,32,31
metaflow,27,35,94,112,3,4,54,67,2,3,18,24,2,2,34,63,2,3,24,33,13,16,70,81,5,7,21,20
microk8s,5,8,19,24,0,0,0,0,1,2,3,5,0,1,0,4,0,0,0,0,1,2,7,9,3,3,13,11
mimesis,25,29,84,85,6,7,83,83,1,1,6,10,0,0,0,0,7,13,39,62,1,1,30,30,10,7,58,55
mindsdb,33,40,196,197,10,11,192,193,1,1,17,17,1,2,9,22,3,4,30,41,4,8,17,42,14,14,104,104
mininet,19,24,59,59,7,7,59,59,3,4,10,12,0,2,0,14,2,4,44,51,0,1,0,48,7,6,34,34
MITMf,7,7,31,31,2,2,22,22,2,2,6,6,1,1,2,2,0,0,0,0,0,0,0,0,2,2,9,9
mitmproxy,52,94,227,285,7,11,202,242,11,18,51,91,1,1,3,91,2,11,33,116,4,24,21,115,27,29,115,112
mkdocs,11,19,38,41,1,2,36,38,1,2,4,7,1,2,3,8,0,2,0,17,1,4,7,19,7,7,24,22
ML-From-Scratch,7,6,30,30,2,2,30,30,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,5,3,20,16
mlflow,126,148,359,366,32,36,332,335,5,6,25,33,8,8,46,96,28,34,211,223,29,40,124,157,24,24,137,137
mlxtend,12,13,184,184,3,4,182,182,0,0,0,0,0,0,0,0,1,1,14,14,0,0,0,0,8,8,158,158
mmdetection,50,81,340,383,8,17,286,328,5,12,15,53,1,1,3,7,2,14,23,97,4,9,42,80,30,28,186,180
MMdnn,14,22,67,93,2,4,59,71,0,1,0,33,1,1,2,4,1,1,21,21,4,9,15,35,6,6,23,23
mmf,64,110,216,235,14,17,189,194,3,12,8,41,1,2,28,74,14,18,120,132,17,46,109,143,15,15,52,49
Mobile-Security-Framework-MobSF,15,15,60,60,1,1,35,35,0,0,0,0,0,0,0,0,1,1,10,10,11,11,50,50,2,2,5,5
mongo-python-driver,68,84,150,159,19,26,148,152,7,8,34,52,3,1,10,54,23,29,128,136,0,4,0,148,16,16,108,105
mongoengine,24,44,74,86,5,12,69,86,3,6,10,27,0,1,0,14,3,9,21,66,3,6,20,32,10,10,62,62
monkey,118,130,497,512,21,23,434,455,9,11,68,83,4,7,10,16,11,11,158,167,33,37,218,234,40,41,281,279
mopidy,19,36,122,125,4,5,121,125,0,1,0,2,1,2,2,17,1,8,10,52,0,7,0,35,13,13,94,94
moto,143,173,738,756,11,21,676,690,3,6,173,214,2,4,13,38,26,38,344,415,30,35,95,102,71,69,386,377
moviepy,29,32,111,114,5,6,110,112,3,3,21,40,1,1,3,10,3,4,39,76,12,12,41,43,5,6,93,93
