project,exp-min,exp-1/4,exp-2/4,exp-3/4,exp-max,exp-avg,imp-min,imp-1/4,imp-2/4,imp-3/4,imp-max,imp-avg,i/e-min,i/e-1/4,i/e-2/4,i/e-3/4,i/e-max,i/e-avg
visidata,0,6.25,28.5,74.75,424,61.89622642,0,6,25,71,424,59.01834862,NA,0.96,0.877192982,0.949832776,1,0.953504794
vision,1,132,299,656.75,11100,709.1262136,60,270,588,1153.5,11100,1242.804598,60,2.045454545,1.966555184,1.756376094,1,1.752585892
volatility,0,0,0,3,1112,27.33531157,0,0,0,6.75,1112,33.40875912,NA,NA,NA,2.25,1,1.22218322
voltron,0,0,0,0,6,0.204081633,0,0,0,0,6,0.235294118,NA,NA,NA,NA,1,1.152941176
vprof,0,0,0,28,250,55.6,0,0,0,0,0,0,NA,NA,NA,0,0,0
vyper,0,0,0,11,228,11.33057851,0,0,6,21,228,18.95283019,NA,NA,NA,1.909090909,1,1.672715137
wafw00f,0,0,1,16,102,23.8,0,0,0,0,102,1.382165605,NA,NA,0,0,1,0.058074185
wagtail,0,0,6,47,1384,50.9270073,0,0,17,85,1384,74.38345865,NA,NA,2.833333333,1.808510638,1,1.460589628
wal-e,0,0,0,0,60,1.174311927,0,0,0,0,60,1.824561404,NA,NA,NA,NA,1,1.55372807
walle-web,0,0,0,2.75,147,6.283783784,0,0,0,4,147,7.545454545,NA,NA,NA,1.454545455,1,1.200782014
WeasyPrint,0,0,6,45,1367,65.58333333,0,0,11,71.5,1367,90.07462687,NA,NA,1.833333333,1.588888889,1,1.373437767
websockets,0,0,19,141.75,1178,94.74137931,0,0,20.5,94.5,1178,98.5,NA,NA,1.078947368,0.666666667,1,1.039672429
wechat_jump_game,6,34,76,104,535,113.4666667,21,50,79,105.5,132,77.33333333,3.5,1.470588235,1.039473684,1.014423077,0.246728972,0.681551116
weibospider,0,0,0,0,77,1.125,0,0,0,0,77,4.157894737,NA,NA,NA,NA,1,3.695906433
werkzeug,0,0,0,1.75,511,21.2295082,0,0,0,14,511,38.15789474,NA,NA,NA,8,1,1.797398903
wfuzz,0,7,19.5,47,842,51.69444444,0,11,25.5,102.25,842,71.40625,NA,1.571428571,1.307692308,2.175531915,1,1.38131381
whoogle-search,2,42,112,381,1313,312.7333333,22,209.5,643.5,1073.75,1313,650.6666667,11,4.988095238,5.745535714,2.81824147,1,2.080579834
wifiphisher,0,0,0,84.5,1240,100.2857143,0,0,27,223.25,1240,152.3333333,NA,NA,NA,2.642011834,1,1.518993352
wifite2,2,7,33,74,395,60.11111111,2,13.25,40,88.75,395,70.71875,1,1.892857143,1.212121212,1.199324324,1,1.17646719
wxpy,0,0,0,0,3,0.131578947,0,0,0,0,2,0.076923077,NA,NA,NA,NA,0.666666667,0.584615385
xadmin,0,0,0,6,81,6.171875,0,0,0,6.5,81,6.977272727,NA,NA,NA,1.083333333,1,1.130494822
xonsh,0,12,58,196.5,7830,194.2232558,0,36,98,237.25,7830,252.1015625,NA,3,1.689655172,1.207379135,1,1.297998849
yapf,0,13,94,234,1013,176.7659574,40,89.75,253,346,641,255.2142857,NA,6.903846154,2.691489362,1.478632479,0.632773939,1.443797716
yellowbrick,4,121.5,369,1009.25,3853,679.8823529,6,272.5,675,1344,3853,932.8269231,1.5,2.242798354,1.829268293,1.331681942,1,1.372041676
yolov5,11,295.5,482.5,951.75,8041,1086.416667,17,329,491,956.5,8041,1103.263158,1.545454545,1.113367174,1.01761658,1.004990806,1,1.015506473
YOLOX,0,4.5,33.5,95.5,512,70.02631579,0,32.5,74,127,512,98.96774194,NA,7.222222222,2.208955224,1.329842932,1,1.413293571
you-get,0,0,0,21,1442,54.77235772,0,0,14,241,1442,223.7826087,NA,NA,NA,11.47619048,1,4.085685152
YouCompleteMe,0,0,0,6,299,31.71111111,0,0,0,12,299,43.42105263,NA,NA,NA,2,1,1.369269354
yowsup,0,0,0,4,694,16.46884273,0,0,0,14.75,445,21.59473684,NA,NA,NA,3.6875,0.641210375,1.311247985
YYeTsBot,0,0,0,57,414,65.66666667,0,0,0,0,414,53.21428571,NA,NA,NA,0,1,0.810369833
Zappa,0,0,18,238.5,857,149.6842105,0,87.5,222,414,857,297.4285714,NA,NA,12.33333333,1.735849057,1,1.987040386
zipline,0,0,0,14,844,32.40754717,0,0,0,37.5,844,48.18452381,NA,NA,NA,2.678571429,1,1.486830322
bitbake,0,0,0,6,660,38.27027027,0,0,42,214,12056,280.0510949,NA,NA,NA,35.66666667,18.26666667,7.317719287
boto,0,0,0,0,200,5.617647059,0,0,0,24,1462,41.06862745,NA,NA,NA,NA,7.31,7.310645724
calibre,0,0,0,12.5,8150,47.05932203,0,0,14,87.75,2573,91.06521739,NA,NA,NA,7.02,0.315705521,1.93511537
cassandra-dtest,0,0,13,74.5,4138,91.1092437,0,0,22,155.25,2787,238.4375,NA,NA,1.692307692,2.083892617,0.673513775,2.61705059
celery,0,0,4,36,564,39.44303797,0,2,31,152,1549,135.2262443,NA,NA,7.75,4.222222222,2.746453901,3.42839323
cerbero,0,0,0,0,0,0,0,0,0,0,7,0.088607595,NA,NA,NA,NA,NA,NA
certbot,0,27.25,92.5,255.75,3965,276.3765432,0,43,219,576.5,2614,470.084507,NA,1.577981651,2.367567568,2.254154448,0.6592686,1.700884241
ChatterBot,0,0,0,0,117,5.446808511,0,0,0,3,296,25.8372093,NA,NA,NA,NA,2.52991453,4.743550145
cheetah,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
cherrypy,0,0,0,23,193,39.54545455,0,31,120,329,3184,275.345679,NA,NA,NA,14.30434783,16.49740933,6.962764297
cobbler,0,0,0,0,52,2.8,0,5,8,22,378,31.02985075,NA,NA,NA,NA,7.269230769,11.08208955
codespeed,0,0,0,2.25,15,1.928571429,0,0,0,7.75,90,13.5,NA,NA,NA,3.444444444,6,7
django,0,10,25,68,5676,104.0501882,0,46,134,473,90075,753.3922127,NA,4.6,5.36,6.955882353,15.86945032,7.240661701
gramps,0,0,0,0,510,6.270471464,0,0,0,16,27290,111.9577875,NA,NA,NA,NA,53.50980392,17.85476389
XX-Net,0,0,0,0,289,2.350684932,0,0,0,0,673,6.668122271,NA,NA,NA,NA,2.328719723,2.836672062
zulip,0,0,5,23,410,25.8041543,0,0,22,105,2702,111.9372937,NA,NA,4.4,4.565217391,6.590243902,4.3379563
