project,exp-min,exp-1/4,exp-2/4,exp-3/4,exp-max,exp-avg,imp-min,imp-1/4,imp-2/4,imp-3/4,imp-max,imp-avg,i/e-min,i/e-1/4,i/e-2/4,i/e-3/4,i/e-max,i/e-avg
scrapy,0,1,3,5,27,3.783050847,0,2,4,6,27,4.634920635,NA,2,1.333333333,1.2,1,1.225180634
scylla,0,0,1,2,6,1.274509804,0,1,1.5,2,6,2,NA,NA,1.5,1,1,1.569230769
seaborn,0,2,11,34,103,21.37209302,1,2,3,24.5,103,16.32142857,NA,1,0.272727273,0.720588235,1,0.763679465
security_monkey,0,0,1,3,27,2.412955466,0,1,2,7,27,4.679245283,NA,NA,2,2.333333333,1,1.939217424
segmentation_models.pytorch,0,1,2,4,15,2.853333333,1,2,4,4.5,15,4.133333333,NA,2,2,1.125,1,1.448598131
semantic-segmentation-pytorch,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
sentence-transformers,0,0,0,0,8,0.239520958,0,0,0,1,8,0.438596491,NA,NA,NA,NA,1,1.831140351
sentry,0,4,7,13,702,12.33639144,0,5,9,17,702,15.26550169,NA,1.25,1.285714286,1.307692308,1,1.237436553
seq2seq,0,0,0,0,2,0.2,0,0,0,1,2,0.5,NA,NA,NA,NA,1,2.5
serenata-de-amor,0,0,0,0,2,0.149425287,0,0,0,0,2,0.185185185,NA,NA,NA,NA,1,1.239316239
SerpentAI,0,0,0,0,2,0.025316456,0,0,0,0,2,0.043478261,NA,NA,NA,NA,1,1.717391304
shadowsocksr,0,0,0,1,6,0.92,0,1,2,2.5,5,2,NA,NA,NA,2.5,0.833333333,2.173913043
sigma,0,0,0,1,46,7.197183099,0,0,0,18,46,9.340425532,NA,NA,NA,18,1,1.297789066
skorch,0,1.25,5,14,69,10.24,0,1.5,7,15.5,69,11.8974359,NA,1.2,1.4,1.107142857,1,1.161858974
sktime,0,1,4,8.25,95,8.255555556,0,3,7,14.25,76,12.64393939,NA,3,1.75,1.727272727,0.8,1.531567356
SlowFast,0,0,0,1,3,0.392405063,0,0,0,1,3,0.525,NA,NA,NA,1,1,1.337903226
snips-nlu,0,0,2,3,9,2.096491228,0,1,2.5,4,9,2.970588235,NA,NA,1.25,1.333333333,1,1.416933301
snorkel,0,3,6,10,49,7.504201681,0,6,8,14,49,11.17073171,NA,2,1.333333333,1.4,1,1.488596946
social-engineer-toolkit,0,0,0,0,3,0.096774194,0,0,0,0,3,0.375,NA,NA,NA,NA,1,3.875
sonnet,0,0,0,1,2,0.361538462,0,0,0.5,1,2,0.545454545,NA,NA,NA,1,1,1.508704062
spaCy,0,3,5,14,269,14.90495868,0,3.25,10,21.75,269,21.7295082,NA,1.083333333,2,1.553571429,1,1.457871079
sphinx,0,1,4,13,250,11.72697368,0,2,6,17,250,14.44298246,NA,2,1.5,1.307692308,1,1.231603553
spiderfoot,0,2,3,5,28,3.947145877,0,2,3,5,28,3.91507431,NA,1,1,1,1,0.991874745
splash,0,0,0,1,5,0.552941176,0,0,0,1,5,0.6875,NA,NA,NA,1,1,1.243351064
spleeter,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
spotipy,0,1,2,4,66,4.666666667,0,1,2,3,66,4.578947368,NA,1,1,0.75,1,0.981203008
spyder,0,0,0,0,8,0.155,0,0,0,0,8,0.204603581,NA,NA,NA,NA,1,1.3200231
sqlalchemy,0,2,8,24,231,19.15482696,0,3,11,29.75,231,22.28888889,NA,1.5,1.375,1.239583333,1,1.163617345
sqlmap,0,1,3,6,996,11.3221957,0,2.5,7,14,996,24.81935484,NA,2.5,2.333333333,2.333333333,1,2.192097318
statsmodels,0,0,0,1,52,1.600956938,0,0,0,2,52,2.20355412,NA,NA,NA,2,1,1.37639812
stock,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Stream-Framework,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
streamlink,0,0,1,3,47,2.192825112,0,1,2,5,47,3.328042328,NA,NA,2,1.666666667,1,1.517696195
streamlit,0,2,8,23.5,318,24.70752089,1,4,13,41.75,318,39.05263158,NA,2,1.625,1.776595745,1,1.580596926
superset,0,1,3,10,644,13.4159292,0,1,5,13,644,20.42394822,NA,1,1.666666667,1.3,1,1.522365534
supervisor,0,0,2,8,29,5.055555556,0,1,2,8,29,5.804347826,NA,NA,1,1,1,1.148112757
Surprise,0,0,0,1,5,0.827586207,0,0,1,2,5,1.296296296,NA,NA,NA,2,1,1.566358025
sympy,0,0,0,2,72,2.650471356,0,0,1,4,72,4.061935484,NA,NA,NA,2,1,1.532533251
synapse,0,4,10,21,198,16.31863442,0,5,12,24,198,19.2332696,NA,1.25,1.2,1.142857143,1,1.178607787
sync-engine,0,0,1,1,13,0.920930233,0,0,1,1,13,1.156363636,NA,NA,1,1,1,1.255647383
taiga-back,0,0,0,1,32,1.217770035,0,0,0,2,32,1.832740214,NA,NA,NA,2,1,1.504996971
Tautulli,0,0,0,0,16,0.107375271,0,0,0,0,16,0.186746988,NA,NA,NA,NA,1,1.739199221
Telethon,0,0.25,2,4,39,4.069230769,0,1,2.5,5,39,5.321428571,NA,4,1.25,1.25,1,1.307723467
tensor2tensor,0,0,1,2,42,2.044392523,0,0,1,3,42,3.460674157,NA,NA,1,1.5,1,1.692764045
tensorboardX,0,1,3,5,86,6.078125,0,2.25,3,5,86,8.766666667,NA,2.25,1,1,1,1.442330763
TensorFlowOnSpark,0,0,0,0,1,0.176470588,0,0,0,0,1,0.111111111,NA,NA,NA,NA,1,0.62962963
tensorlayer,0,1,2,5,45,4.880382775,0,1,2,3,45,3.822916667,NA,1,1,0.6,1,0.783323121
tensorpack,0,2,4,7.75,24,5.192307692,0,2,5,8,24,6.03030303,NA,1,1.25,1.032258065,1,1.161391695
tensortrade,0,0,0,0,3,0.173611111,0,0,0,0,2,0.120879121,NA,NA,NA,NA,0.666666667,0.696263736
textual,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
text_classification,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
tflearn,0,1,2,3,24,3.290322581,0,2,3,6,24,5.470588235,NA,2,1.5,2,1,1.662629758
Theano,0,0,0,1,19,1.063218391,0,0,0,2,19,1.298387097,NA,NA,NA,2,1,1.221185702
thefuck,0,1,1,3,37,2.877862595,0,1,2,4,37,3.939759036,NA,1,2,1.333333333,1,1.368987888
theHarvester,0,0,0,0,6,0.344262295,0,0,0,0.5,6,0.909090909,NA,NA,NA,NA,1,2.640692641
thumbor,0,0,1,2,25,1.838150289,0,0,1,2,25,2.311827957,NA,NA,1,1,1,1.257692568
tianshou,1,4,11,19,60,13.664,1,4,11,22,60,14.67307692,1,1,1,1.157894737,1,1.073849306
tinygrad,0,0.25,2.5,5.75,39,4.857142857,0,0.75,4,6,39,5.444444444,NA,3,1.6,1.043478261,1,1.120915033
toolz,0,0,1,3,10,2.35483871,0,0.75,2,4.5,10,3.375,NA,NA,2,1.5,1,1.433219178
tornado,0,1.5,6,14,81,10.79120879,0,1,9,22,81,14.2,NA,0.666666667,1.5,1.571428571,1,1.315885947
tpot,0,0,1,3.75,32,3.261904762,0,0,2,4.5,26,4.333333333,NA,NA,2,1.2,0.8125,1.328467153
tqdm,0,0,1,4,82,5.172413793,0,0,2,5,50,5.666666667,NA,NA,2,1.25,0.609756098,1.095555556
tribler,0,0,0,0,4,0.211640212,0,0,0,0,4,0.25,NA,NA,NA,NA,1,1.18125
troposphere,0,0,1,3,83,3.806122449,1,2,6,21.5,64,15.09090909,NA,NA,6,7.166666667,0.771084337,3.964903729
tushare,0,0,0,0,3,0.26,0,0,0,0.5,2,0.428571429,NA,NA,NA,NA,0.666666667,1.648351648
tvm,0,2,5,11,258,9.988830975,0,3,6,13,258,12.55113636,NA,1.5,1.2,1.181818182,1,1.256517043
twisted,0,0,0,0,6,0.158316633,0,0,0,0,6,0.180535966,NA,NA,NA,NA,1,1.140347432
Ultra-Light-Fast-Generic-Face-Detector-1MB,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
umap,0,0,3,4,48,5.058823529,0,0.5,1,1.5,2,1,NA,NA,0.333333333,0.375,0.041666667,0.197674419
universe,0,0,0,1,5,0.51,0,0,0,1,5,0.764705882,NA,NA,NA,1,1,1.499423299
urh,0,1,3,6,42,4.629411765,0,1,3,6,42,4.84351145,NA,1,1,1,1,1.046247708
urllib3,0,2,5,13,41,8.696969697,0,4.5,10,19.5,41,12.92307692,NA,2.25,2,1.5,1,1.485928705
virtualenv,0,3,5,10,56,7.12295082,0,3,6,11.25,56,8.238095238,NA,1,1.2,1.125,1,1.156556524
visidata,0,1,3,6,45,4.962264151,0,1,3,6,45,4.80733945,NA,1,1,1,1,0.968779433
vision,1,4,10,20,150,16.95631068,1,5.5,15,33,150,25.90804598,1,1.375,1.5,1.65,1,1.527929422
volatility,0,0,0,1,23,0.762611276,0,0,0,1,23,0.908759124,NA,NA,NA,1,1,1.191641342
voltron,0,0,0,0,2,0.081632653,0,0,0,0,2,0.088235294,NA,NA,NA,NA,1,1.080882353
vprof,0,0,0,2,11,2.6,0,0,0,0,0,0,NA,NA,NA,0,0,0
vyper,0,0,0,1,7,0.756198347,0,0,1,1.75,5,1.066037736,NA,NA,NA,1.75,0.714285714,1.409732962
wafw00f,0,0,1,2,6,1.8,0,0,0,0,6,0.089171975,NA,NA,0,0,1,0.049539986
wagtail,0,0,1,3,45,2.284671533,0,0,2,4,34,2.979949875,NA,NA,2,1.333333333,0.755555556,1.304323108
wal-e,0,0,0,0,3,0.146788991,0,0,0,0,3,0.175438596,NA,NA,NA,NA,1,1.195175439
walle-web,0,0,0,1,7,0.540540541,0,0,0,1,7,0.666666667,NA,NA,NA,1,1,1.233333333
WeasyPrint,0,0,1,3,39,3.703703704,0,0,1,7,39,5.044776119,NA,NA,1,2.333333333,1,1.362089552
websockets,0,0,1,4.75,26,3.172413793,0,0,2,5.75,26,3.973684211,NA,NA,2,1.210526316,1,1.252574371
wechat_jump_game,1,1,1,4.5,28,4.133333333,1,1,1,1,1,1,1,1,1,0.222222222,0.035714286,0.241935484
weibospider,0,0,0,0,1,0.041666667,0,0,0,0,1,0.105263158,NA,NA,NA,NA,1,2.526315789
werkzeug,0,0,0,1,23,1.196721311,0,0,0,2,23,2.228070175,NA,NA,NA,2,1,1.861812064
wfuzz,0,1,1,2,8,1.342592593,0,1,1,2,8,1.5,NA,1,1,1,1,1.117241379
whoogle-search,1,4,8,19,39,11.73333333,4,9.25,20.5,22,39,18.66666667,4,2.3125,2.5625,1.157894737,1,1.590909091
wifiphisher,0,0,0,2,17,1.892857143,0,0,1.5,3.5,17,2.611111111,NA,NA,NA,1.75,1,1.379454927
wifite2,1,1,3,4,17,3.222222222,1,1.75,3,4,17,3.375,1,1.75,1,1,1,1.047413793
wxpy,0,0,0,0,1,0.052631579,0,0,0,0,1,0.038461538,NA,NA,NA,NA,1,0.730769231
xadmin,0,0,0,1,3,0.40625,0,0,0,1,3,0.477272727,NA,NA,NA,1,1,1.174825175
xonsh,0,1,3,6,54,5.125581395,0,2,4,8,54,6.4375,NA,2,1.333333333,1.333333333,1,1.255955082
yapf,0,1.5,6,15.5,56,10.76595745,4,8,17.5,28.75,56,21.42857143,NA,5.333333333,2.916666667,1.85483871,1,1.990400903
yellowbrick,1,4,8,14,45,10.77647059,1,6,12,20.25,45,13.61538462,1,1.5,1.5,1.446428571,1,1.263436345
